timestep,susceptible,infected,recovered,dead
1,1391,109,0,0
2,1213,287,0,0
3,1010,490,0,0
4,749,751,0,0
5,505,989,6,0
6,301,1175,24,0
7,178,1269,52,1
8,92,1300,106,2
9,43,1281,173,3
10,24,1200,272,4
11,10,1079,403,8
12,8,924,557,11
13,7,751,729,13
14,4,572,906,18
15,3,404,1073,20
16,2,267,1207,24
17,1,177,1295,27
18,1,118,1352,29
19,1,76,1391,32
20,0,46,1422,32
21,0,22,1445,33
22,0,11,1456,33
23,0,9,1458,33
24,0,8,1459,33
25,0,3,1464,33
26,0,1,1466,33
27,0,1,1466,33
28,0,1,1466,33
29,0,1,1466,33
30,0,1,1466,33
31,0,0,1467,33
