timestep,susceptible,infected,recovered,dead
1,1355,145,0,0
2,1161,337,2,0
3,921,575,4,0
4,697,796,7,0
5,524,964,12,0
6,354,1120,26,0
7,247,1189,64,0
8,162,1231,106,1
9,108,1203,187,2
10,88,1129,280,3
11,61,1019,414,6
12,43,873,573,11
13,28,741,718,13
14,13,633,837,17
15,8,479,994,19
16,7,357,1112,24
17,2,267,1202,29
18,1,181,1289,29
19,1,122,1347,30
20,1,96,1373,30
21,1,65,1403,31
22,1,48,1420,31
23,0,32,1437,31
24,0,18,1451,31
25,0,11,1458,31
26,0,5,1464,31
27,0,5,1464,31
28,0,4,1465,31
29,0,2,1467,31
30,0,1,1468,31
31,0,1,1468,31
32,0,1,1468,31
33,0,1,1468,31
34,0,0,1469,31
