timestep,susceptible,infected,recovered,dead
1,1604,396,0,0
2,1242,750,7,1
3,870,1082,45,3
4,588,1228,179,5
5,372,1192,423,13
6,223,1022,737,18
7,143,760,1070,27
8,90,534,1342,34
9,56,363,1540,41
10,47,221,1684,48
11,35,141,1775,49
12,32,84,1834,50
13,30,46,1874,50
14,30,26,1894,50
15,30,15,1905,50
16,30,5,1915,50
17,30,1,1919,50
18,30,0,1919,51
