timestep,susceptible,infected,recovered,dead
1,1430,70,0,0
2,1367,133,0,0
3,1279,221,0,0
4,1200,299,1,0
5,1097,401,2,0
6,980,509,11,0
7,866,616,18,0
8,752,711,37,0
9,620,808,70,2
10,516,866,115,3
11,420,905,172,3
12,352,901,243,4
13,283,884,329,4
14,220,852,422,6
15,173,776,543,8
16,126,708,657,9
17,91,646,753,10
18,70,560,855,15
19,56,494,935,15
20,45,417,1023,15
21,39,356,1089,16
22,30,287,1165,18
23,27,241,1213,19
24,21,193,1265,21
25,21,148,1308,23
26,20,111,1346,23
27,19,76,1380,25
28,19,53,1403,25
29,19,30,1426,25
30,19,21,1435,25
31,17,14,1444,25
32,17,11,1447,25
33,17,7,1451,25
34,16,5,1454,25
35,15,4,1456,25
36,15,3,1457,25
37,15,3,1457,25
38,15,3,1457,25
39,15,3,1457,25
40,15,2,1458,25
41,15,2,1458,25
42,15,0,1460,25
