timestep,susceptible,infected,recovered,dead
1,1427,73,0,0
2,1347,153,0,0
3,1260,238,2,0
4,1120,376,4,0
5,974,517,9,0
6,832,658,10,0
7,703,778,19,0
8,587,876,36,1
9,471,956,72,1
10,376,1003,120,1
11,279,1012,208,1
12,229,977,291,3
13,181,909,405,5
14,124,847,522,7
15,88,767,637,8
16,62,681,748,9
17,47,566,876,11
18,37,475,976,12
19,27,395,1064,14
20,21,318,1144,17
21,18,253,1210,19
22,16,188,1277,19
23,15,141,1324,20
24,14,104,1362,20
25,13,78,1389,20
26,13,62,1405,20
27,13,42,1425,20
28,13,31,1436,20
29,12,26,1442,20
30,12,17,1451,20
31,10,14,1456,20
32,10,9,1461,20
33,10,8,1462,20
34,10,7,1463,20
35,10,4,1466,20
36,10,1,1469,20
37,10,1,1469,20
38,10,1,1469,20
39,10,1,1469,20
40,10,0,1470,20
