timestep,susceptible,infected,recovered,dead
1,1432,68,0,0
2,1384,116,0,0
3,1288,212,0,0
4,1170,329,1,0
5,1059,438,3,0
6,933,559,7,1
7,786,692,20,2
8,643,812,43,2
9,513,916,69,2
10,402,984,112,2
11,317,1002,179,2
12,242,991,265,2
13,188,951,353,8
14,143,883,463,11
15,110,807,570,13
16,90,707,689,14
17,70,596,815,19
18,55,499,924,22
19,43,404,1027,26
20,30,321,1122,27
21,25,249,1194,32
22,21,197,1249,33
23,19,158,1290,33
24,18,129,1320,33
25,16,94,1354,36
26,15,69,1379,37
27,14,58,1391,37
28,14,39,1410,37
29,14,27,1422,37
30,14,20,1429,37
31,14,16,1433,37
32,14,9,1440,37
33,14,5,1444,37
34,14,3,1446,37
35,14,2,1447,37
36,14,0,1449,37
