timestep,susceptible,infected,recovered,dead
1,1412,88,0,0
2,1339,161,0,0
3,1248,251,1,0
4,1139,360,1,0
5,1022,473,5,0
6,899,589,12,0
7,776,699,25,0
8,671,788,41,0
9,539,880,80,1
10,415,949,133,3
11,316,979,202,3
12,248,967,280,5
13,182,934,378,6
14,139,864,486,11
15,107,799,580,14
16,81,702,702,15
17,68,595,819,18
18,49,508,923,20
19,39,432,1006,23
20,32,342,1102,24
21,22,277,1174,27
22,19,216,1234,31
23,14,177,1278,31
24,14,126,1329,31
25,13,95,1359,33
26,13,68,1385,34
27,11,52,1403,34
28,11,40,1415,34
29,11,27,1428,34
30,11,20,1435,34
31,11,14,1441,34
32,11,10,1445,34
33,11,5,1450,34
34,11,3,1452,34
35,11,1,1454,34
36,11,0,1455,34
