timestep,susceptible,infected,recovered,dead
1,1425,75,0,0
2,1370,130,0,0
3,1299,201,0,0
4,1182,317,1,0
5,1050,446,4,0
6,903,588,9,0
7,777,701,21,1
8,634,815,50,1
9,503,918,78,1
10,397,985,117,1
11,311,1009,178,2
12,248,980,268,4
13,192,936,366,6
14,148,871,475,6
15,118,794,581,7
16,90,695,705,10
17,73,602,814,11
18,53,509,926,12
19,44,416,1025,15
20,39,326,1118,17
21,32,248,1202,18
22,30,191,1260,19
23,26,148,1306,20
24,24,106,1348,22
25,22,85,1371,22
26,21,59,1398,22
27,18,45,1414,23
28,16,37,1424,23
29,16,27,1434,23
30,16,17,1444,23
31,16,14,1447,23
32,16,11,1450,23
33,16,10,1451,23
34,16,7,1454,23
35,14,7,1456,23
36,14,5,1458,23
37,14,3,1460,23
38,14,3,1460,23
39,14,2,1461,23
40,14,2,1461,23
41,14,2,1461,23
42,14,2,1461,23
43,14,2,1461,23
44,14,2,1461,23
45,14,2,1461,23
46,14,0,1462,24
