timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,976,24,0,0
3,969,30,1,0
4,960,39,1,0
5,941,55,4,0
6,928,61,10,1
7,913,71,14,2
8,897,82,19,2
9,878,88,31,3
10,850,107,40,3
11,833,106,55,6
12,810,111,73,6
13,791,111,92,6
14,771,115,107,7
15,748,122,122,8
16,723,130,139,8
17,694,140,157,9
18,665,143,183,9
19,644,142,202,12
20,612,156,218,14
21,583,165,238,14
22,567,155,263,15
23,543,150,291,16
24,515,149,320,16
25,490,146,347,17
26,472,135,374,19
27,453,134,393,20
28,442,122,416,20
29,421,116,439,24
30,405,114,457,24
31,387,114,475,24
32,369,107,498,26
33,340,118,515,27
34,329,109,532,30
35,311,113,546,30
36,291,114,564,31
37,274,112,582,32
38,265,110,593,32
39,250,104,613,33
40,231,103,632,34
41,219,97,649,35
42,210,92,662,36
43,193,95,676,36
44,186,83,694,37
45,175,78,709,38
46,169,69,723,39
47,159,65,736,40
48,157,54,748,41
49,155,47,757,41
50,155,38,766,41
51,150,35,773,42
52,149,23,785,43
53,147,18,792,43
54,145,16,795,44
55,144,14,798,44
56,144,9,802,45
57,144,8,802,46
58,143,7,804,46
59,142,7,805,46
60,142,5,807,46
61,141,4,809,46
62,141,3,810,46
63,141,3,810,46
64,140,3,811,46
65,140,3,811,46
66,140,2,812,46
67,140,1,813,46
68,140,1,813,46
69,140,1,813,46
70,140,0,814,46
