timestep,susceptible,infected,recovered,dead
1,980,20,0,0
2,968,32,0,0
3,953,47,0,0
4,935,63,2,0
5,918,75,7,0
6,906,81,12,1
7,885,88,26,1
8,861,101,36,2
9,840,112,46,2
10,816,118,64,2
11,787,129,82,2
12,762,142,93,3
13,739,145,113,3
14,715,148,134,3
15,685,151,161,3
16,656,160,177,7
17,633,157,203,7
18,613,154,224,9
19,594,144,252,10
20,570,142,276,12
21,551,143,294,12
22,533,127,326,14
23,516,123,347,14
24,508,99,376,17
25,497,93,393,17
26,486,86,409,19
27,476,77,427,20
28,465,71,443,21
29,455,68,456,21
30,446,57,475,22
31,435,60,482,23
32,426,61,489,24
33,411,66,499,24
34,400,69,507,24
35,393,66,516,25
36,389,59,527,25
37,381,53,540,26
38,372,51,551,26
39,358,60,556,26
40,351,55,567,27
41,340,54,579,27
42,333,50,589,28
43,329,45,598,28
44,324,38,609,29
45,314,40,616,30
46,308,39,623,30
47,302,39,629,30
48,295,39,636,30
49,288,41,641,30
50,285,40,645,30
51,275,42,653,30
52,268,40,662,30
53,266,34,670,30
54,261,34,674,31
55,256,31,682,31
56,251,30,688,31
57,248,28,693,31
58,241,32,696,31
59,234,34,701,31
60,231,33,705,31
61,227,29,713,31
62,222,29,718,31
63,220,25,724,31
64,219,23,727,31
65,217,20,732,31
66,215,16,736,33
67,215,13,739,33
68,215,10,742,33
69,213,7,747,33
70,211,9,747,33
71,210,8,749,33
72,209,6,751,34
73,209,5,752,34
74,208,6,752,34
75,208,5,753,34
76,208,4,754,34
77,208,2,755,35
78,208,2,755,35
79,208,2,755,35
80,208,1,756,35
81,208,1,756,35
82,206,2,757,35
83,206,2,757,35
84,205,3,757,35
85,205,3,757,35
86,204,3,758,35
87,203,4,758,35
88,201,6,758,35
89,201,4,760,35
90,201,3,761,35
91,200,4,761,35
92,199,4,762,35
93,198,4,763,35
94,198,2,765,35
95,198,1,766,35
96,198,1,766,35
97,198,1,766,35
98,198,1,766,35
99,198,1,766,35
100,198,1,766,35
101,198,0,767,35
