timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,975,25,0,0
3,967,32,1,0
4,958,41,1,0
5,946,53,1,0
6,934,61,4,1
7,920,69,10,1
8,899,80,20,1
9,873,91,34,2
10,851,101,46,2
11,825,113,59,3
12,796,126,74,4
13,763,145,88,4
14,741,151,103,5
15,717,159,118,6
16,683,168,142,7
17,656,160,173,11
18,635,148,204,13
19,609,149,229,13
20,588,146,251,15
21,569,147,269,15
22,543,143,298,16
23,524,137,323,16
24,506,132,346,16
25,494,117,369,20
26,483,101,396,20
27,476,93,410,21
28,466,92,421,21
29,454,79,444,23
30,448,60,468,24
31,441,61,474,24
32,435,54,487,24
33,430,43,503,24
34,424,43,509,24
35,414,46,516,24
36,413,43,519,25
37,401,43,531,25
38,393,45,536,26
39,387,42,545,26
40,378,44,552,26
41,361,52,560,27
42,355,52,565,28
43,345,55,571,29
44,336,60,575,29
45,329,58,584,29
46,321,57,593,29
47,310,56,605,29
48,300,57,613,30
49,292,59,619,30
50,284,60,626,30
51,277,55,638,30
52,269,53,648,30
53,264,48,656,32
54,260,40,667,33
55,255,36,675,34
56,251,31,684,34
57,247,31,688,34
58,245,27,694,34
59,234,32,700,34
60,226,36,704,34
61,222,35,709,34
62,216,36,714,34
63,207,39,719,35
64,197,44,723,36
65,192,39,731,38
66,189,36,737,38
67,182,33,746,39
68,178,33,750,39
69,176,33,752,39
70,170,30,760,40
71,167,25,768,40
72,165,24,771,40
73,160,23,777,40
74,156,22,782,40
75,154,22,784,40
76,151,23,786,40
77,149,21,790,40
78,147,22,791,40
79,143,20,797,40
80,140,19,801,40
81,138,18,804,40
82,137,15,807,41
83,133,15,810,42
84,133,11,814,42
85,133,11,814,42
86,133,8,817,42
87,133,6,819,42
88,133,6,819,42
89,132,5,821,42
90,132,2,824,42
91,131,2,825,42
92,131,2,825,42
93,131,2,825,42
94,130,3,825,42
95,129,3,826,42
96,129,3,826,42
97,129,3,826,42
98,129,3,826,42
99,129,3,826,42
100,129,0,829,42
