timestep,susceptible,infected,recovered,dead
1,987,13,0,0
2,983,17,0,0
3,979,21,0,0
4,975,25,0,0
5,955,44,1,0
6,933,64,3,0
7,903,88,8,1
8,883,99,17,1
9,854,121,24,1
10,827,137,34,2
11,799,150,49,2
12,766,161,69,4
13,740,172,83,5
14,713,168,114,5
15,680,174,140,6
16,642,183,169,6
17,620,179,194,7
18,586,184,222,8
19,557,182,250,11
20,530,189,267,14
21,509,186,291,14
22,477,180,329,14
23,450,172,359,19
24,426,159,394,21
25,396,169,414,21
26,365,173,438,24
27,336,171,466,27
28,314,167,492,27
29,287,161,524,28
30,261,156,551,32
31,237,152,578,33
32,226,140,600,34
33,211,126,628,35
34,200,120,645,35
35,187,102,676,35
36,179,87,698,36
37,174,78,712,36
38,165,69,728,38
39,158,57,746,39
40,150,45,766,39
41,140,47,774,39
42,136,44,781,39
43,134,40,787,39
44,128,39,793,40
45,127,27,806,40
46,126,22,812,40
47,123,23,814,40
48,121,19,820,40
49,119,15,826,40
50,117,9,833,41
51,116,9,834,41
52,116,9,834,41
53,116,6,837,41
54,116,6,837,41
55,116,4,839,41
56,116,2,841,41
57,116,1,842,41
58,116,0,843,41
