timestep,susceptible,infected,recovered,dead
1,987,13,0,0
2,980,20,0,0
3,969,31,0,0
4,953,46,0,1
5,932,63,4,1
6,912,79,8,1
7,884,102,13,1
8,859,117,22,2
9,834,135,29,2
10,807,150,41,2
11,774,165,57,4
12,732,171,92,5
13,705,170,117,8
14,676,175,140,9
15,644,180,166,10
16,614,187,189,10
17,589,177,222,12
18,562,172,252,14
19,534,171,278,17
20,512,163,307,18
21,482,166,334,18
22,455,165,362,18
23,433,159,390,18
24,401,171,409,19
25,384,153,443,20
26,361,156,463,20
27,348,143,488,21
28,328,141,509,22
29,303,135,539,23
30,291,117,569,23
31,282,105,587,26
32,275,97,602,26
33,263,93,614,30
34,252,83,635,30
35,245,73,651,31
36,231,65,671,33
37,219,62,686,33
38,211,55,701,33
39,207,53,707,33
40,201,47,719,33
41,194,47,726,33
42,187,44,736,33
43,184,41,742,33
44,181,36,750,33
45,178,32,757,33
46,173,27,766,34
47,171,23,770,36
48,168,21,774,37
49,168,14,781,37
50,168,10,785,37
51,167,10,786,37
52,166,8,789,37
53,165,8,790,37
54,164,6,793,37
55,164,5,794,37
56,164,5,794,37
57,164,4,795,37
58,164,4,795,37
59,164,2,797,37
60,164,0,799,37
