timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,972,28,0,0
3,957,42,1,0
4,940,58,2,0
5,920,76,4,0
6,894,99,6,1
7,877,106,15,2
8,843,131,23,3
9,811,144,40,5
10,778,159,55,8
11,739,178,75,8
12,725,167,99,9
13,700,166,123,11
14,670,174,145,11
15,636,174,176,14
16,600,181,202,17
17,571,183,229,17
18,539,191,252,18
19,508,192,279,21
20,482,187,307,24
21,457,176,342,25
22,431,176,367,26
23,408,172,390,30
24,388,158,422,32
25,362,155,451,32
26,339,152,475,34
27,315,145,503,37
28,302,129,531,38
29,288,115,559,38
30,271,109,582,38
31,258,104,597,41
32,248,96,614,42
33,233,96,629,42
34,227,86,644,43
35,221,71,664,44
36,210,67,679,44
37,199,64,693,44
38,191,62,702,45
39,189,53,713,45
40,180,54,720,46
41,173,53,728,46
42,166,48,740,46
43,160,43,751,46
44,153,45,756,46
45,150,42,762,46
46,144,37,773,46
47,140,34,780,46
48,139,29,785,47
49,137,23,793,47
50,136,21,796,47
51,133,18,801,48
52,131,14,807,48
53,130,11,811,48
54,130,10,812,48
55,130,9,813,48
56,130,6,816,48
57,130,2,820,48
58,130,1,821,48
59,129,2,821,48
60,129,2,821,48
61,128,2,822,48
62,128,2,822,48
63,128,2,822,48
64,128,2,822,48
65,128,2,822,48
66,128,0,824,48
