timestep,susceptible,infected,recovered,dead
1,984,16,0,0
2,970,30,0,0
3,953,47,0,0
4,940,60,0,0
5,919,80,1,0
6,887,108,5,0
7,859,123,18,0
8,834,137,28,1
9,801,156,42,1
10,760,179,58,3
11,732,188,76,4
12,694,199,102,5
13,664,190,139,7
14,630,192,170,8
15,606,186,200,8
16,577,187,226,10
17,540,191,258,11
18,506,190,292,12
19,479,186,322,13
20,452,186,348,14
21,420,188,377,15
22,392,179,413,16
23,369,172,441,18
24,351,166,465,18
25,338,148,496,18
26,316,136,529,19
27,298,128,555,19
28,285,116,580,19
29,276,97,606,21
30,266,84,628,22
31,256,77,643,24
32,247,72,655,26
33,236,63,675,26
34,228,63,681,28
35,223,54,694,29
36,219,43,708,30
37,213,43,714,30
38,207,40,723,30
39,198,42,729,31
40,196,37,735,32
41,194,34,740,32
42,192,25,751,32
43,191,20,756,33
44,188,19,760,33
45,186,18,763,33
46,182,17,768,33
47,182,14,771,33
48,180,14,773,33
49,180,12,775,33
50,180,10,777,33
51,178,9,780,33
52,178,6,782,34
53,175,8,783,34
54,174,7,785,34
55,174,6,785,35
56,172,6,787,35
57,172,6,787,35
58,171,5,789,35
59,171,5,789,35
60,171,5,789,35
61,169,6,790,35
62,168,5,792,35
63,168,4,793,35
64,168,3,794,35
65,168,3,794,35
66,168,2,795,35
67,168,2,795,35
68,166,3,796,35
69,166,3,796,35
70,166,3,796,35
71,166,2,797,35
72,166,2,797,35
73,166,1,798,35
74,166,1,798,35
75,166,1,798,35
76,166,0,799,35
