timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,974,26,0,0
3,962,37,1,0
4,949,50,1,0
5,932,64,4,0
6,901,91,8,0
7,872,111,16,1
8,842,132,23,3
9,807,147,41,5
10,774,162,59,5
11,740,170,83,7
12,695,195,102,8
13,653,217,120,10
14,617,224,147,12
15,592,209,184,15
16,559,215,207,19
17,522,209,246,23
18,502,192,280,26
19,466,194,312,28
20,441,183,346,30
21,424,171,372,33
22,403,158,405,34
23,376,151,439,34
24,365,136,465,34
25,351,117,497,35
26,329,124,511,36
27,316,117,528,39
28,304,100,557,39
29,290,91,578,41
30,267,94,596,43
31,260,81,615,44
32,251,71,633,45
33,244,69,642,45
34,241,62,651,46
35,233,57,664,46
36,224,52,678,46
37,219,48,687,46
38,214,42,697,47
39,211,40,702,47
40,206,36,710,48
41,200,34,718,48
42,195,30,727,48
43,187,32,733,48
44,184,30,738,48
45,182,28,741,49
46,180,26,745,49
47,177,25,749,49
48,173,25,753,49
49,166,24,761,49
50,162,23,766,49
51,159,23,769,49
52,158,22,771,49
53,156,22,773,49
54,156,14,780,50
55,156,11,783,50
56,156,8,786,50
57,155,4,791,50
58,155,4,791,50
59,155,4,791,50
60,155,2,793,50
61,155,2,793,50
62,155,1,794,50
63,155,1,794,50
64,155,0,795,50
