timestep,susceptible,infected,recovered,dead
1,1171,828,1,0
2,292,1706,2,0
3,36,1959,5,0
4,3,1987,10,0
5,0,1979,21,0
6,0,1955,45,0
7,0,1900,100,0
8,0,1825,173,2
9,0,1706,291,3
10,0,1531,464,5
11,0,1324,667,9
12,0,1080,908,12
13,0,793,1193,14
14,0,564,1419,17
15,0,368,1611,21
16,0,235,1743,22
17,0,146,1830,24
18,0,82,1893,25
19,0,39,1936,25
20,0,14,1961,25
21,0,8,1967,25
22,0,2,1973,25
23,0,0,1975,25
