timestep,susceptible,infected,recovered,dead
1,1411,89,0,0
2,1329,171,0,0
3,1206,294,0,0
4,1085,413,2,0
5,963,530,7,0
6,862,628,10,0
7,760,714,26,0
8,653,800,47,0
9,559,855,86,0
10,454,895,149,2
11,387,880,230,3
12,311,873,311,5
13,258,817,420,5
14,208,752,530,10
15,162,702,623,13
16,119,642,725,14
17,105,567,814,14
18,87,482,913,18
19,65,414,999,22
20,57,348,1072,23
21,44,281,1151,24
22,31,229,1216,24
23,27,184,1263,26
24,24,150,1297,29
25,24,123,1324,29
26,23,98,1350,29
27,22,75,1373,30
28,20,61,1388,31
29,19,45,1405,31
30,17,37,1415,31
31,17,29,1423,31
32,17,21,1430,32
33,17,17,1434,32
34,17,14,1437,32
35,17,10,1441,32
36,17,6,1445,32
37,17,3,1448,32
38,17,2,1449,32
39,17,2,1449,32
40,17,0,1451,32
