timestep,susceptible,infected,recovered,dead
1,1418,82,0,0
2,1349,151,0,0
3,1263,237,0,0
4,1148,352,0,0
5,1026,473,1,0
6,917,573,9,1
7,810,667,22,1
8,675,768,56,1
9,574,839,84,3
10,491,872,132,5
11,421,885,188,6
12,358,868,267,7
13,290,844,359,7
14,239,791,463,7
15,194,736,561,9
16,170,661,659,10
17,139,570,779,12
18,115,500,872,13
19,98,440,947,15
20,74,376,1032,18
21,62,319,1100,19
22,54,274,1153,19
23,47,225,1207,21
24,42,192,1244,22
25,33,161,1282,24
26,28,133,1315,24
27,26,107,1343,24
28,24,82,1370,24
29,23,71,1382,24
30,21,54,1401,24
31,20,45,1411,24
32,18,39,1419,24
33,15,31,1430,24
34,14,26,1435,25
35,13,23,1439,25
36,13,18,1444,25
37,13,13,1449,25
38,13,10,1452,25
39,13,6,1456,25
40,13,6,1456,25
41,13,5,1457,25
42,13,4,1458,25
43,13,3,1459,25
44,13,2,1460,25
45,13,1,1461,25
46,13,1,1461,25
47,13,1,1461,25
48,13,0,1462,25
