timestep,susceptible,infected,recovered,dead
1,1422,78,0,0
2,1369,130,1,0
3,1281,216,3,0
4,1146,350,4,0
5,1011,482,7,0
6,879,610,11,0
7,750,730,20,0
8,636,821,41,2
9,518,914,65,3
10,415,961,120,4
11,356,958,180,6
12,285,946,263,6
13,240,884,369,7
14,200,815,476,9
15,165,731,593,11
16,133,647,707,13
17,106,558,822,14
18,98,458,930,14
19,79,380,1025,16
20,71,316,1096,17
21,61,258,1164,17
22,54,213,1215,18
23,46,181,1254,19
24,40,144,1297,19
25,38,121,1322,19
26,36,100,1344,20
27,34,72,1374,20
28,31,60,1389,20
29,28,52,1400,20
30,27,37,1416,20
31,24,33,1423,20
32,24,25,1431,20
33,23,23,1434,20
34,21,22,1437,20
35,21,19,1440,20
36,21,13,1446,20
37,21,11,1448,20
38,21,11,1448,20
39,21,10,1449,20
40,21,7,1452,20
41,21,6,1453,20
42,21,2,1457,20
43,21,2,1457,20
44,21,1,1458,20
45,21,1,1458,20
46,21,0,1459,20
