timestep,susceptible,infected,recovered,dead
1,1579,419,2,0
2,1150,836,14,0
3,778,1162,58,2
4,502,1277,217,4
5,308,1225,461,6
6,178,999,812,11
7,104,741,1135,20
8,68,495,1414,23
9,42,307,1623,28
10,36,189,1744,31
11,31,103,1832,34
12,29,63,1874,34
13,29,25,1912,34
14,29,13,1924,34
15,28,3,1934,35
16,28,1,1936,35
17,28,1,1936,35
18,28,0,1937,35
