timestep,susceptible,infected,recovered,dead
1,1427,73,0,0
2,1366,134,0,0
3,1314,185,1,0
4,1221,278,1,0
5,1119,378,3,0
6,1000,492,8,0
7,889,590,21,0
8,762,694,44,0
9,647,783,70,0
10,549,836,115,0
11,433,903,163,1
12,350,922,227,1
13,287,891,321,1
14,226,864,405,5
15,184,787,522,7
16,128,740,624,8
17,98,676,718,8
18,72,587,829,12
19,55,502,927,16
20,43,432,1009,16
21,37,360,1086,17
22,31,279,1169,21
23,27,229,1223,21
24,25,175,1276,24
25,21,136,1319,24
26,19,99,1358,24
27,18,72,1385,25
28,16,56,1403,25
29,16,41,1418,25
30,16,28,1431,25
31,15,22,1438,25
32,14,16,1445,25
33,14,13,1448,25
34,13,12,1450,25
35,13,8,1454,25
36,13,5,1457,25
37,13,4,1458,25
38,13,3,1459,25
39,13,3,1459,25
40,13,2,1460,25
41,13,2,1460,25
42,13,2,1460,25
43,13,1,1461,25
44,13,0,1462,25
