timestep,susceptible,infected,recovered,dead
1,1419,81,0,0
2,1358,142,0,0
3,1251,249,0,0
4,1138,362,0,0
5,1030,467,3,0
6,910,586,4,0
7,799,688,13,0
8,699,764,37,0
9,601,832,67,0
10,498,889,113,0
11,422,889,189,0
12,336,875,289,0
13,272,835,393,0
14,219,805,475,1
15,171,735,590,4
16,135,673,686,6
17,109,612,772,7
18,87,537,864,12
19,66,470,951,13
20,59,400,1028,13
21,44,338,1105,13
22,36,277,1174,13
23,29,215,1243,13
24,28,165,1294,13
25,25,137,1324,14
26,19,113,1353,15
27,18,86,1379,17
28,17,65,1401,17
29,16,47,1420,17
30,13,35,1435,17
31,13,27,1441,19
32,12,21,1448,19
33,12,14,1454,20
34,12,13,1455,20
35,12,10,1458,20
36,12,6,1462,20
37,12,3,1465,20
38,12,2,1466,20
39,12,2,1466,20
40,12,1,1467,20
41,12,1,1467,20
42,12,0,1468,20
