timestep,susceptible,infected,recovered,dead
1,1432,68,0,0
2,1366,134,0,0
3,1273,227,0,0
4,1164,335,1,0
5,1055,442,3,0
6,935,557,8,0
7,804,677,19,0
8,685,773,42,0
9,568,855,77,0
10,464,898,136,2
11,385,908,204,3
12,316,902,278,4
13,248,871,374,7
14,200,823,466,11
15,153,773,558,16
16,111,705,667,17
17,80,636,765,19
18,61,528,891,20
19,46,459,972,23
20,37,395,1042,26
21,32,316,1125,27
22,26,258,1186,30
23,20,201,1248,31
24,18,157,1292,33
25,18,124,1325,33
26,17,96,1353,34
27,16,69,1381,34
28,15,53,1397,35
29,14,35,1415,36
30,14,26,1424,36
31,13,19,1432,36
32,13,13,1438,36
33,13,9,1442,36
34,13,6,1445,36
35,13,5,1446,36
36,13,4,1447,36
37,13,3,1448,36
38,13,2,1449,36
39,13,0,1451,36
