timestep,susceptible,infected,recovered,dead
1,1434,65,1,0
2,1375,124,1,0
3,1283,216,1,0
4,1168,329,3,0
5,1048,447,5,0
6,933,560,7,0
7,814,667,19,0
8,701,763,36,0
9,590,834,73,3
10,493,893,110,4
11,418,906,170,6
12,361,869,262,8
13,288,863,340,9
14,238,817,433,12
15,181,761,544,14
16,147,698,639,16
17,115,610,758,17
18,89,556,837,18
19,68,482,929,21
20,55,412,1010,23
21,37,341,1099,23
22,29,283,1165,23
23,26,233,1217,24
24,24,178,1274,24
25,23,145,1308,24
26,22,109,1345,24
27,18,85,1373,24
28,17,64,1395,24
29,17,42,1417,24
30,17,32,1427,24
31,17,20,1439,24
32,17,14,1445,24
33,17,9,1450,24
34,17,6,1453,24
35,17,4,1455,24
36,17,4,1455,24
37,17,4,1455,24
38,17,2,1457,24
39,17,0,1459,24
