timestep,susceptible,infected,recovered,dead
1,988,12,0,0
2,981,19,0,0
3,974,26,0,0
4,965,35,0,0
5,952,48,0,0
6,937,62,1,0
7,916,83,1,0
8,900,97,3,0
9,885,111,4,0
10,873,121,6,0
11,859,131,10,0
12,836,149,15,0
13,812,169,19,0
14,790,185,25,0
15,767,202,31,0
16,745,212,42,1
17,722,223,54,1
18,688,247,64,1
19,665,256,78,1
20,645,264,90,1
21,621,276,102,1
22,598,287,113,2
23,574,297,127,2
24,559,296,143,2
25,544,293,161,2
26,523,283,190,4
27,497,292,207,4
28,472,293,230,5
29,453,294,247,6
30,434,283,276,7
31,421,277,293,9
32,402,271,317,10
33,382,258,350,10
34,365,255,370,10
35,350,250,390,10
36,330,245,414,11
37,316,238,435,11
38,298,234,457,11
39,287,223,479,11
40,273,228,488,11
41,262,217,510,11
42,246,216,527,11
43,235,205,549,11
44,232,196,561,11
45,223,185,580,12
46,212,178,597,13
47,207,163,617,13
48,202,151,633,14
49,197,140,648,15
50,191,131,663,15
51,185,115,685,15
52,181,100,704,15
53,174,90,721,15
54,167,89,729,15
55,164,85,736,15
56,162,79,744,15
57,157,76,752,15
58,154,68,763,15
59,154,58,772,16
60,149,57,778,16
61,145,59,780,16
62,143,57,784,16
63,143,47,794,16
64,139,45,800,16
65,137,43,804,16
66,134,40,810,16
67,130,42,812,16
68,128,36,819,17
69,126,36,821,17
70,119,42,822,17
71,118,40,825,17
72,117,37,829,17
73,114,34,835,17
74,111,34,838,17
75,107,36,840,17
76,104,32,847,17
77,103,32,848,17
78,103,31,849,17
79,102,29,852,17
80,102,26,855,17
81,102,26,855,17
82,99,25,859,17
83,97,25,861,17
84,94,28,861,17
85,93,26,864,17
86,93,24,866,17
87,93,19,871,17
88,93,16,874,17
89,92,15,876,17
90,92,13,878,17
91,91,13,879,17
92,91,12,880,17
93,90,11,882,17
94,90,7,886,17
95,89,6,888,17
96,89,5,889,17
97,89,5,889,17
98,89,5,889,17
99,89,5,889,17
100,89,5,889,17
101,89,5,889,17
102,89,4,890,17
103,89,4,890,17
104,89,3,891,17
105,89,3,891,17
106,89,2,892,17
107,89,2,892,17
108,89,1,893,17
109,89,1,893,17
110,89,1,893,17
111,89,1,893,17
112,89,1,893,17
113,89,0,894,17
