timestep,susceptible,infected,recovered,dead
1,983,17,0,0
2,969,31,0,0
3,961,39,0,0
4,953,47,0,0
5,937,63,0,0
6,932,66,2,0
7,919,79,2,0
8,895,102,3,0
9,873,123,4,0
10,852,142,6,0
11,835,155,10,0
12,810,175,15,0
13,786,196,18,0
14,770,205,25,0
15,755,213,31,1
16,732,223,44,1
17,717,224,58,1
18,708,220,71,1
19,681,233,84,2
20,657,240,101,2
21,631,247,120,2
22,611,252,135,2
23,594,251,151,4
24,579,252,165,4
25,567,241,188,4
26,545,240,211,4
27,532,230,234,4
28,516,234,246,4
29,505,222,269,4
30,488,225,283,4
31,474,226,295,5
32,462,221,312,5
33,449,209,336,6
34,433,205,356,6
35,425,200,369,6
36,419,188,387,6
37,407,180,406,7
38,398,176,419,7
39,389,172,432,7
40,381,167,445,7
41,369,160,464,7
42,363,141,489,7
43,349,138,505,8
44,345,132,514,9
45,340,125,526,9
46,333,123,535,9
47,325,121,544,10
48,313,121,556,10
49,304,122,564,10
50,295,116,578,11
51,286,116,587,11
52,283,110,596,11
53,279,107,602,12
54,269,110,609,12
55,266,100,622,12
56,256,104,628,12
57,251,95,642,12
58,247,91,650,12
59,240,88,659,13
60,237,78,672,13
61,236,78,673,13
62,230,80,677,13
63,222,76,689,13
64,216,73,697,14
65,211,70,705,14
66,207,69,710,14
67,204,67,715,14
68,201,61,724,14
69,196,63,727,14
70,195,58,732,15
71,190,58,737,15
72,189,52,744,15
73,188,45,752,15
74,185,45,755,15
75,181,43,761,15
76,180,39,766,15
77,174,44,767,15
78,173,40,772,15
79,166,43,776,15
80,163,41,781,15
81,159,43,783,15
82,155,43,787,15
83,154,39,792,15
84,150,42,793,15
85,147,44,794,15
86,143,44,798,15
87,141,44,800,15
88,138,45,802,15
89,136,45,804,15
90,134,43,808,15
91,129,44,811,16
92,125,45,814,16
93,124,42,818,16
94,120,39,825,16
95,115,42,827,16
96,114,42,828,16
97,113,41,830,16
98,109,44,831,16
99,107,42,835,16
100,103,42,839,16
101,101,41,842,16
102,101,38,845,16
103,99,37,848,16
104,99,35,850,16
105,97,32,855,16
106,96,29,859,16
107,96,24,864,16
108,95,22,867,16
109,95,19,870,16
110,94,16,874,16
111,92,15,877,16
112,91,12,881,16
113,89,12,883,16
114,89,12,883,16
115,87,14,883,16
116,87,12,885,16
117,85,14,885,16
118,84,13,887,16
119,84,13,887,16
120,84,12,888,16
121,83,12,889,16
122,81,12,891,16
123,81,12,891,16
124,81,12,891,16
125,81,10,893,16
126,81,8,895,16
127,80,9,895,16
128,79,10,895,16
129,79,10,895,16
130,78,9,897,16
131,77,9,898,16
132,77,8,899,16
133,77,6,901,16
134,77,6,901,16
135,77,6,901,16
136,77,5,902,16
137,77,3,904,16
138,77,2,905,16
139,77,1,906,16
140,77,0,907,16
