timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,984,16,0,0
3,979,21,0,0
4,970,30,0,0
5,966,34,0,0
6,957,41,2,0
7,946,51,3,0
8,935,60,5,0
9,919,74,7,0
10,900,93,7,0
11,880,111,9,0
12,863,126,11,0
13,842,141,17,0
14,822,157,21,0
15,806,165,29,0
16,787,181,31,1
17,762,197,39,2
18,732,219,47,2
19,716,229,53,2
20,700,232,66,2
21,683,240,75,2
22,662,246,90,2
23,642,252,104,2
24,628,254,116,2
25,600,267,130,3
26,580,262,155,3
27,571,249,176,4
28,554,246,196,4
29,545,230,220,5
30,531,230,234,5
31,512,233,250,5
32,496,223,274,7
33,479,219,295,7
34,466,220,307,7
35,453,220,319,8
36,437,218,337,8
37,426,205,360,9
38,417,193,381,9
39,395,199,397,9
40,384,198,409,9
41,364,202,425,9
42,355,193,443,9
43,346,185,460,9
44,336,176,479,9
45,323,178,490,9
46,308,183,500,9
47,296,181,514,9
48,285,175,531,9
49,273,172,546,9
50,262,168,561,9
51,251,164,576,9
52,238,162,591,9
53,230,153,608,9
54,216,154,620,10
55,207,152,631,10
56,202,145,643,10
57,195,143,651,11
58,191,138,660,11
59,187,128,674,11
60,181,125,683,11
61,177,117,694,12
62,170,106,712,12
63,163,101,724,12
64,159,95,734,12
65,156,86,746,12
66,155,77,756,12
67,150,75,763,12
68,147,71,770,12
69,140,71,776,13
70,138,62,787,13
71,137,58,792,13
72,136,54,797,13
73,133,52,802,13
74,129,54,804,13
75,128,49,810,13
76,128,43,816,13
77,127,37,823,13
78,126,35,826,13
79,125,35,827,13
80,125,27,835,13
81,122,27,838,13
82,120,25,842,13
83,119,24,843,14
84,118,22,846,14
85,118,19,849,14
86,117,17,852,14
87,116,17,853,14
88,115,18,853,14
89,113,16,857,14
90,112,15,859,14
91,109,17,859,15
92,109,16,860,15
93,107,17,861,15
94,106,17,862,15
95,104,16,865,15
96,102,18,865,15
97,102,18,865,15
98,100,19,866,15
99,98,20,867,15
100,98,19,868,15
101,98,18,869,15
102,98,17,870,15
103,97,16,872,15
104,96,15,874,15
105,96,13,876,15
106,95,12,878,15
107,95,11,879,15
108,93,10,882,15
109,92,9,884,15
110,92,9,884,15
111,90,9,886,15
112,89,10,886,15
113,89,10,886,15
114,86,11,888,15
115,86,11,888,15
116,86,11,888,15
117,84,13,888,15
118,83,13,889,15
119,82,14,889,15
120,82,11,892,15
121,82,11,892,15
122,82,10,893,15
123,82,9,894,15
124,82,9,894,15
125,81,9,895,15
126,80,9,896,15
127,79,9,897,15
128,79,8,898,15
129,79,8,898,15
130,79,7,899,15
131,79,5,901,15
132,76,6,903,15
133,76,6,903,15
134,76,6,903,15
135,75,7,903,15
136,75,6,904,15
137,74,7,904,15
138,74,7,904,15
139,74,6,905,15
140,74,6,905,15
141,73,7,905,15
142,73,7,905,15
143,73,6,906,15
144,73,5,907,15
145,73,5,907,15
146,73,4,908,15
147,73,3,909,15
148,73,3,909,15
149,73,3,909,15
150,73,2,910,15
151,73,1,911,15
152,73,1,911,15
153,73,0,912,15
