timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,977,23,0,0
3,970,30,0,0
4,956,43,1,0
5,941,58,1,0
6,929,69,2,0
7,910,88,2,0
8,896,102,2,0
9,874,121,5,0
10,852,141,7,0
11,837,155,8,0
12,814,171,15,0
13,791,187,21,1
14,770,204,25,1
15,745,217,36,2
16,728,224,46,2
17,711,231,56,2
18,697,232,69,2
19,681,233,84,2
20,665,224,109,2
21,646,235,117,2
22,624,242,132,2
23,601,248,149,2
24,576,251,171,2
25,551,260,187,2
26,534,260,203,3
27,510,265,222,3
28,499,258,240,3
29,479,258,260,3
30,465,249,283,3
31,450,242,305,3
32,428,246,323,3
33,412,240,345,3
34,385,241,371,3
35,364,239,394,3
36,344,246,407,3
37,318,251,427,4
38,303,254,439,4
39,291,249,456,4
40,278,241,476,5
41,265,232,498,5
42,248,234,513,5
43,235,221,539,5
44,224,212,558,6
45,210,211,573,6
46,202,203,589,6
47,189,201,603,7
48,180,196,617,7
49,168,184,640,8
50,157,177,657,9
51,146,169,676,9
52,137,161,693,9
53,126,157,708,9
54,118,152,721,9
55,113,149,729,9
56,109,141,741,9
57,108,128,755,9
58,107,111,773,9
59,104,106,781,9
60,102,91,798,9
61,102,79,809,10
62,100,67,822,11
63,99,58,832,11
64,99,45,845,11
65,99,40,850,11
66,99,35,854,12
67,99,29,860,12
68,98,28,862,12
69,98,21,869,12
70,98,19,871,12
71,98,15,875,12
72,97,9,882,12
73,97,9,882,12
74,96,8,884,12
75,96,7,885,12
76,96,4,888,12
77,96,4,888,12
78,96,3,889,12
79,96,2,890,12
80,96,2,890,12
81,96,2,890,12
82,96,2,890,12
83,96,1,891,12
84,96,1,891,12
85,96,1,891,12
86,96,1,891,12
87,96,0,892,12
