timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,979,21,0,0
3,967,33,0,0
4,962,38,0,0
5,948,52,0,0
6,938,62,0,0
7,916,84,0,0
8,900,100,0,0
9,874,126,0,0
10,847,151,2,0
11,823,172,5,0
12,803,190,7,0
13,778,206,16,0
14,761,211,28,0
15,753,213,34,0
16,737,222,41,0
17,720,226,54,0
18,708,226,66,0
19,696,232,72,0
20,686,217,97,0
21,676,209,115,0
22,666,207,126,1
23,654,198,147,1
24,645,182,172,1
25,633,176,189,2
26,622,178,198,2
27,615,161,222,2
28,601,160,237,2
29,594,150,253,3
30,581,147,269,3
31,576,136,285,3
32,574,123,300,3
33,564,121,311,4
34,558,119,319,4
35,553,108,335,4
36,549,100,347,4
37,535,109,352,4
38,531,103,362,4
39,525,97,374,4
40,518,96,382,4
41,517,82,397,4
42,511,80,405,4
43,503,81,412,4
44,494,82,420,4
45,487,79,429,5
46,482,72,441,5
47,478,74,443,5
48,471,76,448,5
49,467,77,451,5
50,459,74,462,5
51,457,69,469,5
52,448,71,475,6
53,444,71,479,6
54,437,75,482,6
55,431,71,492,6
56,425,72,497,6
57,421,71,502,6
58,415,73,506,6
59,410,68,516,6
60,405,68,521,6
61,397,66,530,7
62,395,63,535,7
63,390,64,539,7
64,383,67,543,7
65,377,68,548,7
66,375,65,553,7
67,374,64,555,7
68,373,60,560,7
69,373,53,567,7
70,370,53,570,7
71,366,52,575,7
72,360,50,583,7
73,360,44,589,7
74,357,43,593,7
75,353,41,599,7
76,352,38,603,7
77,348,37,608,7
78,346,36,611,7
79,342,32,619,7
80,342,30,621,7
81,336,35,622,7
82,336,35,622,7
83,333,35,625,7
84,332,36,625,7
85,328,40,625,7
86,327,36,630,7
87,325,36,632,7
88,324,34,634,8
89,324,33,635,8
90,323,27,642,8
91,322,24,646,8
92,318,28,646,8
93,314,28,650,8
94,311,30,651,8
95,311,25,656,8
96,310,21,661,8
97,309,22,661,8
98,307,21,664,8
99,306,18,668,8
100,305,17,670,8
101,305,17,670,8
102,304,18,670,8
103,304,16,672,8
104,304,15,673,8
105,304,11,677,8
106,304,10,678,8
107,304,8,680,8
108,303,8,681,8
109,303,5,684,8
110,303,4,685,8
111,303,4,685,8
112,303,3,686,8
113,303,2,687,8
114,303,2,687,8
115,303,1,687,9
116,302,2,687,9
117,302,2,687,9
118,301,3,687,9
119,301,3,687,9
120,299,5,687,9
121,299,5,687,9
122,298,6,687,9
123,296,8,687,9
124,295,9,687,9
125,294,9,688,9
126,294,8,689,9
127,294,8,689,9
128,294,8,689,9
129,294,8,689,9
130,294,8,689,9
131,293,7,691,9
132,293,6,692,9
133,293,5,693,9
134,293,5,693,9
135,293,3,695,9
136,293,3,695,9
137,293,2,696,9
138,292,3,696,9
139,292,3,696,9
140,292,3,696,9
141,291,4,696,9
142,291,3,697,9
143,290,4,697,9
144,290,4,697,9
145,289,5,697,9
146,287,7,697,9
147,286,7,698,9
148,284,9,698,9
149,284,9,698,9
150,283,9,699,9
151,283,9,699,9
152,283,9,699,9
153,283,8,700,9
154,283,8,700,9
155,283,6,702,9
156,283,6,702,9
157,283,5,703,9
158,283,3,705,9
159,283,3,705,9
160,283,3,705,9
161,283,2,706,9
162,283,2,706,9
163,283,2,706,9
164,282,3,706,9
165,282,1,708,9
166,282,1,708,9
167,282,1,708,9
168,282,1,708,9
169,282,1,708,9
170,282,1,708,9
171,282,0,709,9
