timestep,susceptible,infected,recovered,dead
1,987,13,0,0
2,981,19,0,0
3,976,24,0,0
4,967,33,0,0
5,960,40,0,0
6,948,52,0,0
7,933,67,0,0
8,911,87,2,0
9,887,110,3,0
10,861,136,3,0
11,837,157,6,0
12,815,175,10,0
13,794,194,12,0
14,774,205,21,0
15,756,216,28,0
16,726,242,32,0
17,710,249,40,1
18,691,261,47,1
19,676,265,56,3
20,662,260,75,3
21,645,260,91,4
22,629,258,109,4
23,609,255,131,5
24,593,245,157,5
25,581,238,176,5
26,567,226,202,5
27,553,223,219,5
28,537,216,241,6
29,521,212,261,6
30,508,206,280,6
31,497,200,297,6
32,493,189,311,7
33,481,181,330,8
34,476,170,346,8
35,466,163,363,8
36,455,153,383,9
37,448,142,401,9
38,442,135,414,9
39,435,124,432,9
40,431,120,440,9
41,425,114,451,10
42,418,108,463,11
43,410,102,477,11
44,398,105,486,11
45,390,104,495,11
46,385,98,506,11
47,376,92,520,12
48,367,92,528,13
49,359,93,535,13
50,352,96,539,13
51,346,98,542,14
52,340,98,548,14
53,337,95,554,14
54,333,94,559,14
55,329,87,570,14
56,324,82,580,14
57,319,78,588,15
58,313,74,598,15
59,305,78,602,15
60,303,72,609,16
61,302,72,610,16
62,300,67,616,17
63,295,68,620,17
64,292,63,627,18
65,291,56,635,18
66,286,56,640,18
67,281,54,647,18
68,277,53,652,18
69,276,46,660,18
70,274,45,663,18
71,273,40,669,18
72,271,34,677,18
73,267,36,679,18
74,266,34,682,18
75,263,33,686,18
76,259,33,690,18
77,256,33,693,18
78,254,31,697,18
79,251,32,699,18
80,249,33,700,18
81,247,32,703,18
82,243,35,704,18
83,239,36,707,18
84,236,35,711,18
85,236,32,714,18
86,235,30,717,18
87,234,31,717,18
88,231,30,721,18
89,230,30,722,18
90,230,28,724,18
91,226,32,724,18
92,226,31,725,18
93,226,27,729,18
94,224,25,733,18
95,220,23,739,18
96,220,22,740,18
97,220,19,743,18
98,220,17,745,18
99,219,15,748,18
100,219,14,749,18
101,216,17,749,18
102,215,15,752,18
103,215,13,754,18
104,215,13,754,18
105,215,12,755,18
106,214,10,758,18
107,214,10,758,18
108,214,9,759,18
109,213,10,759,18
110,211,10,761,18
111,211,9,762,18
112,211,8,763,18
113,209,9,764,18
114,209,9,764,18
115,209,9,764,18
116,208,9,765,18
117,208,8,766,18
118,208,7,767,18
119,208,6,768,18
120,206,6,770,18
121,206,6,770,18
122,205,6,771,18
123,203,7,772,18
124,203,7,772,18
125,202,8,772,18
126,202,8,772,18
127,202,8,772,18
128,201,8,773,18
129,201,8,773,18
130,201,8,773,18
131,201,8,773,18
132,200,8,774,18
133,200,6,776,18
134,200,6,776,18
135,200,5,777,18
136,200,5,777,18
137,200,5,777,18
138,199,6,777,18
139,198,7,777,18
140,198,7,777,18
141,198,5,779,18
142,198,5,779,18
143,198,4,780,18
144,198,3,781,18
145,198,3,781,18
146,198,3,781,18
147,198,3,781,18
148,198,1,783,18
149,198,1,783,18
150,198,1,783,18
151,198,1,783,18
152,198,1,783,18
153,198,1,783,18
154,198,1,783,18
155,198,0,784,18
