timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,978,22,0,0
3,970,30,0,0
4,954,46,0,0
5,938,62,0,0
6,925,75,0,0
7,900,99,1,0
8,878,120,2,0
9,858,137,5,0
10,836,159,5,0
11,816,177,7,0
12,793,196,11,0
13,773,209,17,1
14,752,218,29,1
15,735,227,37,1
16,723,230,46,1
17,708,226,65,1
18,696,225,78,1
19,677,229,93,1
20,661,229,109,1
21,643,231,125,1
22,627,222,150,1
23,611,220,168,1
24,598,214,187,1
25,587,213,199,1
26,561,220,218,1
27,544,224,230,2
28,529,224,245,2
29,508,224,266,2
30,491,221,286,2
31,472,220,305,3
32,453,220,324,3
33,445,219,333,3
34,431,215,351,3
35,418,213,366,3
36,394,221,381,4
37,375,222,399,4
38,352,229,415,4
39,339,229,428,4
40,321,238,436,5
41,308,228,457,7
42,296,220,477,7
43,286,213,494,7
44,276,207,509,8
45,262,201,529,8
46,250,189,553,8
47,239,185,568,8
48,231,173,586,10
49,225,161,604,10
50,219,149,622,10
51,216,140,633,11
52,211,129,649,11
53,205,123,661,11
54,199,117,673,11
55,193,110,686,11
56,185,102,702,11
57,175,103,711,11
58,166,100,723,11
59,160,97,732,11
60,156,95,738,11
61,151,88,749,12
62,149,81,758,12
63,146,74,768,12
64,143,71,774,12
65,141,70,777,12
66,139,65,783,13
67,138,62,787,13
68,134,61,792,13
69,133,55,798,14
70,132,53,801,14
71,130,40,815,15
72,130,36,819,15
73,129,30,826,15
74,129,25,831,15
75,128,23,834,15
76,128,22,835,15
77,127,19,839,15
78,126,17,842,15
79,125,16,844,15
80,124,15,846,15
81,123,16,846,15
82,122,17,846,15
83,121,16,848,15
84,119,15,851,15
85,118,15,852,15
86,118,13,854,15
87,117,13,855,15
88,116,14,855,15
89,115,13,857,15
90,114,12,859,15
91,114,10,861,15
92,112,12,861,15
93,111,10,864,15
94,111,10,864,15
95,111,9,865,15
96,111,9,865,15
97,111,8,866,15
98,111,5,869,15
99,111,5,869,15
100,111,4,870,15
101,111,4,870,15
102,111,3,871,15
103,111,2,872,15
104,111,2,872,15
105,111,2,872,15
106,110,2,873,15
107,110,2,873,15
108,110,2,873,15
109,110,2,873,15
110,110,2,873,15
111,110,2,873,15
112,110,1,874,15
113,110,1,874,15
114,110,1,874,15
115,110,1,874,15
116,110,1,874,15
117,110,1,874,15
118,110,1,874,15
119,110,1,874,15
120,110,0,875,15
