timestep,susceptible,infected,recovered,dead
1,983,17,0,0
2,973,27,0,0
3,964,36,0,0
4,957,43,0,0
5,946,54,0,0
6,935,65,0,0
7,919,80,1,0
8,903,95,2,0
9,886,112,2,0
10,873,124,3,0
11,851,143,6,0
12,829,162,9,0
13,818,168,14,0
14,800,180,19,1
15,775,197,27,1
16,759,205,35,1
17,737,215,47,1
18,726,214,59,1
19,710,218,71,1
20,693,215,89,3
21,676,216,104,4
22,662,211,123,4
23,648,213,135,4
24,636,214,146,4
25,615,219,162,4
26,597,213,186,4
27,579,213,203,5
28,563,218,214,5
29,550,211,234,5
30,540,212,243,5
31,526,208,260,6
32,517,200,277,6
33,507,185,301,7
34,493,190,310,7
35,481,187,325,7
36,468,180,344,8
37,458,171,361,10
38,455,163,372,10
39,448,155,385,12
40,433,150,405,12
41,424,138,426,12
42,419,127,442,12
43,410,127,451,12
44,403,122,463,12
45,398,116,474,12
46,393,115,480,12
47,388,105,495,12
48,386,95,507,12
49,379,90,519,12
50,377,85,526,12
51,374,84,529,13
52,368,82,537,13
53,363,80,543,14
54,361,73,552,14
55,354,76,556,14
56,352,66,568,14
57,344,69,573,14
58,339,65,582,14
59,333,66,587,14
60,328,63,595,14
61,322,62,602,14
62,316,63,607,14
63,315,60,611,14
64,314,56,616,14
65,308,59,619,14
66,303,57,626,14
67,294,63,629,14
68,288,63,635,14
69,281,63,642,14
70,278,62,645,15
71,275,58,652,15
72,271,60,654,15
73,268,55,662,15
74,267,55,663,15
75,265,51,667,17
76,263,51,669,17
77,257,52,674,17
78,254,52,677,17
79,251,51,681,17
80,249,50,684,17
81,248,47,688,17
82,247,40,696,17
83,244,32,707,17
84,243,32,708,17
85,240,30,713,17
86,236,30,717,17
87,234,27,722,17
88,230,30,723,17
89,227,32,724,17
90,224,31,728,17
91,218,35,730,17
92,217,35,731,17
93,216,34,733,17
94,213,34,736,17
95,213,31,739,17
96,213,29,740,18
97,211,31,740,18
98,207,33,742,18
99,206,30,746,18
100,205,28,749,18
101,205,25,751,19
102,204,25,752,19
103,202,22,757,19
104,201,19,761,19
105,201,16,764,19
106,200,15,766,19
107,200,13,768,19
108,198,12,771,19
109,198,12,771,19
110,198,11,772,19
111,198,11,772,19
112,198,10,773,19
113,198,8,775,19
114,197,8,776,19
115,197,6,778,19
116,196,5,780,19
117,196,5,780,19
118,196,5,780,19
119,195,5,781,19
120,195,5,781,19
121,194,5,782,19
122,194,5,782,19
123,192,6,783,19
124,190,8,783,19
125,189,9,783,19
126,189,8,784,19
127,189,7,785,19
128,189,7,785,19
129,188,7,786,19
130,187,8,786,19
131,186,9,786,19
132,186,8,787,19
133,185,9,787,19
134,184,10,787,19
135,184,10,787,19
136,184,10,787,19
137,184,9,788,19
138,184,8,789,19
139,184,6,791,19
140,184,6,791,19
141,184,5,792,19
142,184,5,792,19
143,184,5,792,19
144,184,3,794,19
145,184,2,795,19
146,184,2,795,19
147,184,2,795,19
148,184,1,795,20
149,184,1,795,20
150,184,0,796,20
