timestep,susceptible,infected,recovered,dead
1,1429,71,0,0
2,1364,136,0,0
3,1274,225,1,0
4,1174,324,2,0
5,1085,408,7,0
6,973,514,13,0
7,846,626,28,0
8,748,706,45,1
9,646,776,76,2
10,543,833,120,4
11,466,853,177,4
12,379,857,258,6
13,309,841,344,6
14,249,801,444,6
15,196,751,546,7
16,160,688,644,8
17,128,621,742,9
18,99,558,830,13
19,71,506,909,14
20,57,443,984,16
21,46,385,1053,16
22,35,312,1134,19
23,28,246,1203,23
24,26,198,1253,23
25,25,151,1300,24
26,24,120,1332,24
27,23,84,1369,24
28,22,63,1391,24
29,22,47,1407,24
30,21,32,1423,24
31,21,24,1431,24
32,21,12,1443,24
33,21,9,1446,24
34,21,6,1449,24
35,20,7,1449,24
36,20,7,1449,24
37,20,3,1453,24
38,20,3,1453,24
39,20,2,1454,24
40,20,2,1454,24
41,20,1,1455,24
42,20,0,1456,24
