timestep,susceptible,infected,recovered,dead
1,1440,59,1,0
2,1386,113,1,0
3,1299,200,1,0
4,1190,307,3,0
5,1060,436,4,0
6,950,538,12,0
7,847,626,27,0
8,749,704,47,0
9,655,764,81,0
10,568,808,124,0
11,476,843,181,0
12,401,839,260,0
13,338,819,338,5
14,271,783,440,6
15,222,718,552,8
16,187,652,652,9
17,158,584,747,11
18,126,527,834,13
19,96,482,905,17
20,80,411,991,18
21,62,358,1061,19
22,53,292,1135,20
23,48,243,1187,22
24,43,203,1230,24
25,38,161,1275,26
26,34,126,1314,26
27,32,99,1342,27
28,29,77,1367,27
29,26,66,1379,29
30,21,56,1393,30
31,21,47,1402,30
32,19,37,1414,30
33,18,30,1422,30
34,18,22,1430,30
35,18,17,1435,30
36,18,14,1438,30
37,18,11,1441,30
38,17,7,1445,31
39,17,4,1448,31
40,17,3,1449,31
41,17,2,1450,31
42,17,2,1450,31
43,17,1,1451,31
44,17,1,1451,31
45,17,1,1451,31
46,17,1,1451,31
47,17,0,1452,31
