timestep,susceptible,infected,recovered,dead
1,1428,72,0,0
2,1347,153,0,0
3,1269,231,0,0
4,1168,331,1,0
5,1049,443,8,0
6,945,540,15,0
7,849,622,29,0
8,765,689,46,0
9,669,754,75,2
10,573,812,113,2
11,484,816,198,2
12,424,802,270,4
13,351,781,364,4
14,296,749,450,5
15,250,691,553,6
16,219,637,637,7
17,190,579,724,7
18,159,506,827,8
19,133,451,905,11
20,109,384,994,13
21,92,344,1049,15
22,79,304,1102,15
23,68,256,1160,16
24,60,210,1211,19
25,50,194,1237,19
26,45,172,1264,19
27,37,141,1303,19
28,35,116,1329,20
29,33,94,1350,23
30,33,75,1369,23
31,30,59,1388,23
32,30,46,1401,23
33,30,35,1412,23
34,30,25,1421,24
35,30,20,1426,24
36,30,16,1430,24
37,30,9,1437,24
38,30,6,1440,24
39,30,6,1440,24
40,30,4,1442,24
41,30,0,1446,24
