timestep,susceptible,infected,recovered,dead
1,1369,131,0,0
2,1182,318,0,0
3,961,539,0,0
4,722,774,4,0
5,516,975,9,0
6,347,1135,18,0
7,248,1210,42,0
8,166,1252,79,3
9,109,1250,137,4
10,72,1187,236,5
11,35,1083,376,6
12,25,934,532,9
13,17,785,684,14
14,7,625,850,18
15,5,471,1002,22
16,3,341,1130,26
17,2,243,1228,27
18,1,163,1308,28
19,1,110,1361,28
20,1,69,1400,30
21,1,44,1424,31
22,1,31,1437,31
23,1,21,1447,31
24,1,13,1455,31
25,1,7,1461,31
26,1,5,1463,31
27,1,2,1466,31
28,1,1,1467,31
29,1,0,1468,31
