timestep,susceptible,infected,recovered,dead
1,1354,146,0,0
2,1161,339,0,0
3,936,564,0,0
4,689,810,1,0
5,500,992,8,0
6,364,1118,18,0
7,241,1201,58,0
8,152,1245,103,0
9,93,1231,175,1
10,52,1159,286,3
11,32,1033,428,7
12,18,891,579,12
13,14,721,749,16
14,12,584,886,18
15,10,441,1030,19
16,7,337,1134,22
17,7,226,1241,26
18,6,151,1317,26
19,6,102,1366,26
20,5,57,1412,26
21,5,31,1437,27
22,5,18,1448,29
23,5,13,1453,29
24,5,6,1460,29
25,5,2,1464,29
26,5,1,1465,29
27,5,1,1465,29
28,5,1,1465,29
29,5,1,1465,29
30,5,0,1466,29
