timestep,susceptible,infected,recovered,dead
1,1373,127,0,0
2,1166,334,0,0
3,965,533,2,0
4,778,716,6,0
5,610,881,9,0
6,454,1020,26,0
7,332,1124,43,1
8,240,1159,98,3
9,157,1181,158,4
10,95,1138,261,6
11,57,1051,386,6
12,34,927,532,7
13,24,790,677,9
14,18,628,840,14
15,13,502,969,16
16,11,385,1085,19
17,7,294,1179,20
18,5,220,1254,21
19,4,156,1317,23
20,3,110,1364,23
21,3,64,1409,24
22,2,36,1436,26
23,2,21,1451,26
24,2,17,1455,26
25,2,14,1458,26
26,2,8,1464,26
27,2,7,1465,26
28,2,3,1469,26
29,2,1,1471,26
30,2,1,1471,26
31,2,1,1471,26
32,2,0,1472,26
