timestep,susceptible,infected,recovered,dead
1,1363,137,0,0
2,1183,317,0,0
3,980,519,1,0
4,743,752,5,0
5,514,978,8,0
6,364,1119,17,0
7,248,1209,43,0
8,162,1248,90,0
9,111,1244,144,1
10,70,1162,266,2
11,38,1068,389,5
12,25,924,542,9
13,14,776,699,11
14,13,608,863,16
15,7,450,1023,20
16,4,337,1138,21
17,4,241,1231,24
18,2,169,1304,25
19,1,118,1356,25
20,1,72,1399,28
21,1,48,1422,29
22,1,34,1434,31
23,1,25,1443,31
24,1,12,1456,31
25,1,8,1460,31
26,1,3,1465,31
27,1,2,1466,31
28,1,1,1467,31
29,1,0,1468,31
