timestep,susceptible,infected,recovered,dead
1,1354,146,0,0
2,1154,346,0,0
3,915,585,0,0
4,711,785,4,0
5,513,979,8,0
6,360,1120,20,0
7,230,1222,48,0
8,147,1267,86,0
9,96,1248,156,0
10,58,1175,265,2
11,36,1032,428,4
12,26,905,564,5
13,19,721,751,9
14,8,562,917,13
15,2,433,1047,18
16,2,324,1156,18
17,2,233,1246,19
18,1,154,1325,20
19,1,108,1369,22
20,1,63,1414,22
21,1,41,1434,24
22,1,29,1446,24
23,1,16,1459,24
24,1,8,1467,24
25,1,4,1471,24
26,1,3,1472,24
27,1,2,1473,24
28,1,1,1474,24
29,1,0,1475,24
