timestep,susceptible,infected,recovered,dead
1,1361,139,0,0
2,1170,330,0,0
3,956,542,2,0
4,737,757,6,0
5,532,957,10,1
6,343,1130,26,1
7,217,1234,48,1
8,138,1276,84,2
9,95,1240,160,5
10,59,1172,263,6
11,41,1053,398,8
12,21,930,536,13
13,12,775,696,17
14,6,598,876,20
15,4,441,1031,24
16,3,326,1146,25
17,3,231,1236,30
18,0,159,1307,34
19,0,103,1362,35
20,0,62,1403,35
21,0,37,1428,35
22,0,22,1443,35
23,0,12,1453,35
24,0,8,1457,35
25,0,5,1460,35
26,0,4,1461,35
27,0,1,1464,35
28,0,1,1464,35
29,0,0,1465,35
