timestep,susceptible,infected,recovered,dead
1,1387,113,0,0
2,1206,294,0,0
3,968,530,2,0
4,737,757,6,0
5,509,977,14,0
6,343,1131,26,0
7,218,1238,44,0
8,128,1284,88,0
9,79,1260,159,2
10,46,1189,262,3
11,20,1071,404,5
12,12,925,552,11
13,9,759,719,13
14,8,605,871,16
15,5,464,1013,18
16,5,331,1143,21
17,4,233,1238,25
18,1,160,1313,26
19,1,96,1375,28
20,1,55,1414,30
21,1,31,1438,30
22,1,19,1449,31
23,1,11,1457,31
24,1,9,1459,31
25,1,5,1463,31
26,1,5,1463,31
27,1,2,1466,31
28,1,1,1467,31
29,1,1,1467,31
30,1,0,1468,31
