timestep,susceptible,infected,recovered,dead
1,1154,846,0,0
2,272,1727,1,0
3,33,1964,3,0
4,3,1992,5,0
5,0,1984,16,0
6,0,1964,35,1
7,0,1925,73,2
8,0,1852,145,3
9,0,1726,270,4
10,0,1568,425,7
11,0,1327,665,8
12,0,1063,926,11
13,0,795,1193,12
14,0,540,1445,15
15,0,337,1646,17
16,0,202,1780,18
17,0,125,1857,18
18,0,57,1924,19
19,0,27,1952,21
20,0,13,1965,22
21,0,6,1972,22
22,0,3,1975,22
23,0,0,1978,22
