timestep,susceptible,infected,recovered,dead
1,1134,866,0,0
2,263,1737,0,0
3,35,1965,0,0
4,3,1995,2,0
5,0,1990,10,0
6,0,1970,30,0
7,0,1920,79,1
8,0,1827,171,2
9,0,1697,299,4
10,0,1517,478,5
11,0,1310,683,7
12,0,1071,920,9
13,0,817,1170,13
14,0,583,1401,16
15,0,378,1606,16
16,0,225,1757,18
17,0,134,1847,19
18,0,73,1908,19
19,0,36,1944,20
20,0,15,1965,20
21,0,4,1976,20
22,0,3,1977,20
23,0,1,1979,20
24,0,0,1980,20
