timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,980,20,0,0
3,974,26,0,0
4,966,34,0,0
5,960,40,0,0
6,950,50,0,0
7,930,69,1,0
8,916,83,1,0
9,898,98,4,0
10,878,116,6,0
11,859,133,8,0
12,834,155,11,0
13,812,173,15,0
14,795,187,18,0
15,773,201,26,0
16,750,218,32,0
17,728,228,44,0
18,706,239,55,0
19,683,251,66,0
20,671,251,78,0
21,648,260,92,0
22,628,265,107,0
23,606,271,123,0
24,586,272,142,0
25,570,269,161,0
26,548,275,177,0
27,522,273,203,2
28,499,277,222,2
29,479,271,247,3
30,465,261,270,4
31,452,254,290,4
32,439,242,315,4
33,424,237,335,4
34,411,236,348,5
35,391,244,360,5
36,376,241,378,5
37,371,223,400,6
38,356,219,418,7
39,344,214,435,7
40,329,213,451,7
41,319,201,472,8
42,311,184,496,9
43,303,169,519,9
44,297,156,535,12
45,290,146,552,12
46,284,138,566,12
47,276,126,586,12
48,267,124,597,12
49,261,118,609,12
50,253,113,621,13
51,245,105,637,13
52,242,96,649,13
53,232,95,660,13
54,225,90,672,13
55,222,86,678,14
56,213,89,684,14
57,211,83,692,14
58,206,85,695,14
59,200,86,700,14
60,193,86,707,14
61,185,83,718,14
62,178,88,720,14
63,166,89,731,14
64,163,85,738,14
65,152,91,743,14
66,147,91,748,14
67,142,90,754,14
68,138,87,760,15
69,132,87,766,15
70,123,88,774,15
71,120,85,780,15
72,106,93,786,15
73,100,92,793,15
74,94,93,798,15
75,90,92,803,15
76,85,90,810,15
77,81,83,821,15
78,78,78,829,15
79,75,76,834,15
80,72,72,840,16
81,70,67,847,16
82,67,64,853,16
83,65,57,862,16
84,64,49,871,16
85,64,46,874,16
86,63,39,882,16
87,62,37,885,16
88,62,34,888,16
89,61,31,892,16
90,61,23,900,16
91,59,21,904,16
92,58,19,907,16
93,58,14,912,16
94,58,13,913,16
95,58,12,914,16
96,56,12,916,16
97,55,9,920,16
98,55,9,920,16
99,55,8,921,16
100,55,7,922,16
101,55,7,922,16
102,55,7,922,16
103,55,5,924,16
104,55,4,925,16
105,55,4,925,16
106,55,2,927,16
107,55,2,927,16
108,55,2,927,16
109,55,2,927,16
110,55,2,927,16
111,55,0,929,16
