timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,978,22,0,0
3,970,30,0,0
4,960,40,0,0
5,950,50,0,0
6,939,61,0,0
7,928,72,0,0
8,910,90,0,0
9,885,115,0,0
10,860,136,4,0
11,831,162,7,0
12,797,193,10,0
13,782,203,15,0
14,755,220,24,1
15,725,246,28,1
16,688,273,38,1
17,663,290,46,1
18,638,309,51,2
19,610,319,69,2
20,579,333,86,2
21,551,344,101,4
22,537,341,118,4
23,518,347,131,4
24,501,337,158,4
25,479,334,183,4
26,457,321,218,4
27,441,307,247,5
28,417,309,269,5
29,397,305,293,5
30,378,295,321,6
31,357,286,351,6
32,340,285,369,6
33,317,282,394,7
34,298,274,421,7
35,283,269,440,8
36,268,257,466,9
37,254,252,485,9
38,243,242,506,9
39,232,233,526,9
40,222,222,547,9
41,210,211,569,10
42,203,197,590,10
43,189,190,611,10
44,178,180,631,11
45,169,161,659,11
46,153,162,674,11
47,150,148,690,12
48,142,142,704,12
49,134,135,718,13
50,129,127,731,13
51,126,116,745,13
52,117,110,760,13
53,110,104,772,14
54,108,96,782,14
55,105,92,789,14
56,103,78,805,14
57,101,73,812,14
58,98,71,817,14
59,98,66,822,14
60,93,62,830,15
61,90,57,838,15
62,87,54,844,15
63,86,49,850,15
64,83,45,857,15
65,79,44,862,15
66,75,43,867,15
67,73,41,871,15
68,71,38,876,15
69,71,36,877,16
70,71,30,882,17
71,69,30,884,17
72,69,26,888,17
73,68,22,893,17
74,67,21,895,17
75,65,20,898,17
76,65,17,901,17
77,64,15,904,17
78,63,14,906,17
79,63,12,908,17
80,63,11,909,17
81,63,10,910,17
82,63,10,910,17
83,63,9,911,17
84,63,8,912,17
85,63,5,915,17
86,63,3,917,17
87,63,1,919,17
88,63,1,919,17
89,63,0,920,17
