timestep,susceptible,infected,recovered,dead
1,981,19,0,0
2,976,24,0,0
3,966,34,0,0
4,957,43,0,0
5,942,58,0,0
6,924,76,0,0
7,904,96,0,0
8,891,108,1,0
9,871,126,3,0
10,846,148,6,0
11,823,170,7,0
12,800,191,9,0
13,778,208,14,0
14,756,222,22,0
15,733,235,31,1
16,709,250,40,1
17,686,260,52,2
18,662,273,63,2
19,629,283,86,2
20,596,298,104,2
21,565,309,124,2
22,539,317,142,2
23,513,324,161,2
24,484,331,183,2
25,455,338,203,4
26,431,347,217,5
27,403,362,230,5
28,372,366,254,8
29,355,355,281,9
30,339,336,315,10
31,324,330,336,10
32,304,325,360,11
33,285,314,388,13
34,276,297,414,13
35,263,277,445,15
36,245,268,472,15
37,227,262,495,16
38,215,246,521,18
39,203,234,545,18
40,188,227,567,18
41,174,217,591,18
42,163,205,612,20
43,155,185,640,20
44,144,174,662,20
45,135,170,675,20
46,127,158,694,21
47,115,160,704,21
48,106,155,718,21
49,102,142,734,22
50,94,136,747,23
51,90,130,757,23
52,87,121,769,23
53,84,105,787,24
54,81,98,797,24
55,78,95,803,24
56,76,87,812,25
57,75,78,822,25
58,73,59,842,26
59,72,49,853,26
60,71,42,861,26
61,69,40,865,26
62,69,35,870,26
63,66,36,872,26
64,66,32,876,26
65,64,30,878,28
66,62,27,883,28
67,61,24,887,28
68,61,21,890,28
69,59,22,891,28
70,57,22,893,28
71,57,19,896,28
72,56,16,900,28
73,55,17,900,28
74,55,16,901,28
75,54,14,904,28
76,53,13,906,28
77,53,12,907,28
78,53,12,907,28
79,52,12,908,28
80,52,9,910,29
81,52,7,912,29
82,52,7,912,29
83,51,7,913,29
84,51,6,914,29
85,50,7,914,29
86,50,7,914,29
87,50,6,915,29
88,48,6,917,29
89,48,6,917,29
90,46,8,917,29
91,46,7,918,29
92,46,7,918,29
93,45,8,918,29
94,45,8,918,29
95,44,9,918,29
96,44,9,918,29
97,44,7,920,29
98,43,8,920,29
99,43,8,920,29
100,43,8,920,29
101,43,7,921,29
102,43,6,922,29
103,42,6,923,29
104,42,5,924,29
105,42,5,924,29
106,42,3,926,29
107,41,4,926,29
108,41,2,928,29
109,40,3,928,29
110,40,3,928,29
111,40,3,928,29
112,40,3,928,29
113,40,3,928,29
114,40,3,928,29
115,40,3,928,29
116,40,3,928,29
117,40,2,929,29
118,39,3,929,29
119,39,2,930,29
120,39,2,930,29
121,39,2,930,29
122,39,2,930,29
123,39,2,930,29
124,39,2,930,29
125,39,1,931,29
126,39,1,931,29
127,39,1,931,29
128,39,1,931,29
129,38,2,931,29
130,37,3,931,29
131,37,2,932,29
132,37,2,932,29
133,37,2,932,29
134,36,3,932,29
135,35,4,932,29
136,35,4,932,29
137,35,4,932,29
138,35,4,932,29
139,35,4,932,29
140,35,4,932,29
141,35,4,932,29
142,35,3,933,29
143,35,2,934,29
144,35,1,935,29
145,35,1,935,29
146,35,1,935,29
147,35,1,935,29
148,35,0,936,29
