timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,979,21,0,0
3,975,25,0,0
4,965,35,0,0
5,958,42,0,0
6,948,52,0,0
7,929,71,0,0
8,919,81,0,0
9,897,102,1,0
10,876,120,4,0
11,856,139,5,0
12,829,162,9,0
13,803,186,11,0
14,781,203,15,1
15,765,213,21,1
16,742,230,27,1
17,707,257,35,1
18,681,274,44,1
19,653,280,65,2
20,633,285,80,2
21,611,291,95,3
22,597,290,109,4
23,590,279,127,4
24,575,276,145,4
25,567,261,168,4
26,547,252,196,5
27,526,250,218,6
28,511,240,243,6
29,491,235,267,7
30,475,234,283,8
31,463,225,302,10
32,453,214,323,10
33,435,219,336,10
34,419,210,360,11
35,403,207,378,12
36,380,212,396,12
37,369,209,410,12
38,353,210,425,12
39,335,206,447,12
40,324,200,463,13
41,309,204,474,13
42,295,199,493,13
43,285,195,507,13
44,268,200,517,15
45,259,187,537,17
46,231,208,544,17
47,214,203,564,19
48,207,194,579,20
49,194,188,598,20
50,182,182,616,20
51,170,184,626,20
52,168,176,636,20
53,161,163,655,21
54,154,156,669,21
55,145,155,679,21
56,138,149,692,21
57,130,144,704,22
58,124,132,722,22
59,116,129,732,23
60,112,116,749,23
61,108,107,761,24
62,104,100,771,25
63,102,94,779,25
64,100,84,791,25
65,98,74,803,25
66,95,68,812,25
67,95,62,818,25
68,92,58,825,25
69,91,53,831,25
70,91,44,840,25
71,87,38,850,25
72,87,33,855,25
73,87,30,858,25
74,85,27,862,26
75,82,26,866,26
76,81,24,869,26
77,81,21,872,26
78,80,17,877,26
79,80,14,880,26
80,79,15,880,26
81,78,15,881,26
82,78,13,883,26
83,77,12,885,26
84,77,9,888,26
85,77,9,888,26
86,77,7,890,26
87,77,6,891,26
88,77,5,892,26
89,77,1,896,26
90,77,1,896,26
91,77,0,897,26
