timestep,susceptible,infected,recovered,dead
1,988,12,0,0
2,982,18,0,0
3,975,25,0,0
4,966,34,0,0
5,958,42,0,0
6,948,52,0,0
7,937,63,0,0
8,919,80,1,0
9,893,101,6,0
10,871,122,7,0
11,841,148,11,0
12,825,162,13,0
13,806,175,19,0
14,790,189,21,0
15,770,202,28,0
16,747,220,33,0
17,723,237,40,0
18,709,241,50,0
19,680,254,66,0
20,654,266,80,0
21,633,273,93,1
22,611,280,107,2
23,591,280,127,2
24,572,283,143,2
25,550,286,161,3
26,532,284,181,3
27,512,283,202,3
28,494,285,218,3
29,464,291,241,4
30,448,289,259,4
31,433,282,280,5
32,417,272,306,5
33,407,255,333,5
34,387,255,352,6
35,374,244,375,7
36,357,240,396,7
37,347,225,421,7
38,337,215,441,7
39,323,204,466,7
40,305,205,482,8
41,289,204,499,8
42,271,204,517,8
43,259,191,542,8
44,247,189,556,8
45,235,194,563,8
46,226,187,578,9
47,212,179,600,9
48,204,175,612,9
49,195,168,628,9
50,188,160,641,11
51,181,154,653,12
52,171,152,665,12
53,163,146,678,13
54,157,135,695,13
55,144,131,712,13
56,139,125,723,13
57,134,115,738,13
58,129,115,743,13
59,125,109,753,13
60,122,101,764,13
61,117,97,773,13
62,112,91,784,13
63,108,88,791,13
64,106,84,797,13
65,104,76,807,13
66,101,68,818,13
67,99,59,829,13
68,98,56,833,13
69,95,50,842,13
70,92,49,846,13
71,90,44,853,13
72,89,38,860,13
73,89,35,863,13
74,89,31,867,13
75,89,24,874,13
76,89,23,875,13
77,89,18,880,13
78,87,19,881,13
79,87,16,884,13
80,87,13,887,13
81,87,10,890,13
82,85,10,892,13
83,83,11,893,13
84,83,10,894,13
85,82,9,896,13
86,82,8,897,13
87,82,8,897,13
88,82,8,897,13
89,82,6,899,13
90,82,6,899,13
91,82,6,899,13
92,82,6,899,13
93,82,5,900,13
94,82,4,901,13
95,82,3,902,13
96,82,2,903,13
97,82,2,903,13
98,82,1,904,13
99,82,1,904,13
100,82,1,904,13
101,82,1,904,13
102,82,0,905,13
