timestep,susceptible,infected,recovered,dead
1,1598,402,0,0
2,1194,796,9,1
3,779,1167,52,2
4,482,1322,191,5
5,289,1277,422,12
6,173,1012,793,22
7,109,722,1144,25
8,83,464,1420,33
9,59,298,1607,36
10,45,184,1733,38
11,34,114,1813,39
12,33,65,1862,40
13,32,31,1897,40
14,31,18,1910,41
15,31,6,1922,41
16,31,5,1923,41
17,31,2,1926,41
18,31,0,1928,41
