timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,980,20,0,0
3,971,29,0,0
4,967,33,0,0
5,964,35,1,0
6,945,53,2,0
7,930,68,2,0
8,913,84,3,0
9,891,106,3,0
10,871,126,3,0
11,842,154,4,0
12,816,176,8,0
13,776,211,13,0
14,740,247,13,0
15,698,286,16,0
16,664,309,27,0
17,627,340,33,0
18,596,351,53,0
19,560,370,70,0
20,519,395,85,1
21,488,409,102,1
22,456,420,123,1
23,421,431,147,1
24,391,434,174,1
25,363,431,205,1
26,340,419,239,2
27,311,421,264,4
28,296,396,303,5
29,280,378,337,5
30,265,355,373,7
31,244,344,405,7
32,227,330,436,7
33,215,315,462,8
34,206,285,500,9
35,188,274,529,9
36,169,259,561,11
37,152,253,584,11
38,142,239,607,12
39,129,221,638,12
40,118,213,657,12
41,114,194,680,12
42,104,183,700,13
43,100,168,719,13
44,91,162,733,14
45,84,149,753,14
46,77,140,769,14
47,70,128,787,15
48,67,116,802,15
49,66,108,810,16
50,65,100,819,16
51,62,86,836,16
52,55,80,849,16
53,53,70,861,16
54,52,66,865,17
55,49,58,875,18
56,48,51,883,18
57,47,45,890,18
58,46,44,892,18
59,46,37,898,19
60,45,30,906,19
61,44,26,911,19
62,44,22,915,19
63,44,20,917,19
64,43,19,919,19
65,42,20,919,19
66,42,16,923,19
67,40,14,927,19
68,40,10,931,19
69,40,8,933,19
70,40,8,933,19
71,40,7,934,19
72,40,6,935,19
73,40,4,937,19
74,40,3,938,19
75,40,3,938,19
76,40,3,938,19
77,40,3,938,19
78,40,2,939,19
79,40,2,939,19
80,40,2,939,19
81,40,2,939,19
82,40,1,940,19
83,40,1,940,19
84,40,1,940,19
85,40,0,941,19
