timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,980,20,0,0
3,974,26,0,0
4,964,36,0,0
5,952,48,0,0
6,942,58,0,0
7,927,73,0,0
8,918,81,1,0
9,899,99,2,0
10,873,125,2,0
11,852,145,3,0
12,833,161,6,0
13,809,181,10,0
14,780,203,17,0
15,761,214,25,0
16,734,235,31,0
17,702,253,45,0
18,669,274,57,0
19,625,300,75,0
20,598,312,90,0
21,574,326,100,0
22,552,336,112,0
23,527,338,135,0
24,506,340,154,0
25,493,333,173,1
26,476,319,203,2
27,452,324,222,2
28,433,315,249,3
29,422,303,272,3
30,408,291,297,4
31,383,283,329,5
32,366,274,355,5
33,346,265,384,5
34,320,258,413,9
35,299,256,435,10
36,282,242,466,10
37,265,240,485,10
38,250,236,503,11
39,238,236,514,12
40,224,230,533,13
41,204,237,546,13
42,196,229,562,13
43,188,214,583,15
44,183,198,603,16
45,173,189,622,16
46,165,177,642,16
47,160,167,657,16
48,157,144,683,16
49,148,134,702,16
50,143,129,712,16
51,135,123,726,16
52,127,120,735,18
53,123,112,747,18
54,119,101,761,19
55,111,95,775,19
56,106,90,785,19
57,99,86,796,19
58,93,86,802,19
59,86,86,809,19
60,81,85,815,19
61,76,83,822,19
62,74,77,830,19
63,72,71,838,19
64,68,65,848,19
65,64,62,855,19
66,59,61,860,20
67,55,59,865,21
68,53,57,869,21
69,53,54,872,21
70,51,49,879,21
71,47,46,886,21
72,46,41,892,21
73,45,36,897,22
74,44,33,901,22
75,42,30,906,22
76,42,25,911,22
77,41,24,913,22
78,40,23,915,22
79,39,22,917,22
80,39,18,921,22
81,39,15,924,22
82,39,14,925,22
83,39,12,927,22
84,39,10,929,22
85,37,11,930,22
86,36,8,934,22
87,36,8,934,22
88,36,6,936,22
89,36,5,936,23
90,36,4,937,23
91,36,4,937,23
92,36,4,937,23
93,35,5,937,23
94,35,4,938,23
95,35,3,939,23
96,35,3,939,23
97,35,3,939,23
98,35,3,939,23
99,35,1,941,23
100,35,1,941,23
101,35,1,941,23
102,34,2,941,23
103,34,2,941,23
104,34,2,941,23
105,34,1,942,23
106,33,2,942,23
107,33,1,943,23
108,33,1,943,23
109,33,1,943,23
110,32,2,943,23
111,32,2,943,23
112,32,1,944,23
113,32,1,944,23
114,32,1,944,23
115,32,1,944,23
116,32,1,944,23
117,32,1,944,23
118,32,1,944,23
119,32,1,944,23
120,32,1,944,23
121,32,1,944,23
122,32,1,944,23
123,32,1,944,23
124,32,1,944,23
125,32,1,944,23
126,32,0,945,23
