timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,979,21,0,0
3,976,24,0,0
4,970,30,0,0
5,961,38,1,0
6,953,46,1,0
7,938,60,2,0
8,925,72,3,0
9,912,84,4,0
10,892,104,4,0
11,868,124,8,0
12,840,150,10,0
13,818,170,12,0
14,790,193,17,0
15,766,209,25,0
16,735,233,32,0
17,708,250,42,0
18,676,276,48,0
19,651,292,57,0
20,633,295,71,1
21,614,303,82,1
22,598,299,102,1
23,577,305,117,1
24,562,300,136,2
25,545,291,161,3
26,523,294,180,3
27,506,279,210,5
28,480,280,232,8
29,452,291,249,8
30,424,290,278,8
31,407,279,302,12
32,380,282,326,12
33,354,284,350,12
34,323,286,378,13
35,308,283,396,13
36,286,281,419,14
37,269,282,435,14
38,257,273,455,15
39,243,268,474,15
40,234,260,490,16
41,223,252,509,16
42,204,248,532,16
43,195,236,553,16
44,186,214,584,16
45,173,205,606,16
46,168,193,623,16
47,160,188,636,16
48,154,163,667,16
49,145,152,685,18
50,141,135,705,19
51,137,126,717,20
52,128,123,729,20
53,124,103,753,20
54,118,101,761,20
55,116,97,767,20
56,115,91,774,20
57,109,89,782,20
58,104,78,798,20
59,100,73,807,20
60,95,70,815,20
61,91,68,820,21
62,86,62,830,22
63,84,57,837,22
64,80,61,837,22
65,78,57,843,22
66,74,51,853,22
67,71,48,859,22
68,66,51,861,22
69,65,51,862,22
70,63,50,865,22
71,63,44,871,22
72,63,40,875,22
73,60,41,877,22
74,60,37,881,22
75,59,32,887,22
76,58,27,893,22
77,58,25,895,22
78,57,22,899,22
79,56,19,903,22
80,55,18,905,22
81,55,16,907,22
82,54,15,909,22
83,54,15,909,22
84,54,14,910,22
85,54,13,911,22
86,54,11,913,22
87,54,10,914,22
88,53,6,919,22
89,53,5,920,22
90,53,4,921,22
91,53,4,921,22
92,53,3,922,22
93,53,3,922,22
94,53,2,923,22
95,53,2,923,22
96,53,2,923,22
97,53,2,923,22
98,53,1,924,22
99,53,0,925,22
