timestep,susceptible,infected,recovered,dead
1,984,16,0,0
2,978,22,0,0
3,971,29,0,0
4,956,44,0,0
5,944,54,2,0
6,933,57,9,1
7,908,76,14,2
8,886,86,26,2
9,863,99,36,2
10,839,108,50,3
11,816,119,61,4
12,802,123,68,7
13,792,113,86,9
14,776,105,110,9
15,757,101,133,9
16,745,96,150,9
17,734,92,164,10
18,725,82,182,11
19,716,77,194,13
20,710,69,207,14
21,706,53,225,16
22,699,50,235,16
23,693,42,249,16
24,685,38,261,16
25,678,41,265,16
26,673,38,273,16
27,670,36,277,17
28,667,31,284,18
29,660,33,289,18
30,655,34,293,18
31,653,28,300,19
32,652,23,305,20
33,651,18,311,20
34,648,17,315,20
35,643,16,321,20
36,641,16,323,20
37,640,12,328,20
38,637,14,329,20
39,635,14,331,20
40,635,13,332,20
41,634,9,337,20
42,631,11,338,20
43,630,8,342,20
44,629,7,344,20
45,628,6,346,20
46,627,6,347,20
47,627,5,348,20
48,626,6,348,20
49,625,5,350,20
50,625,5,350,20
51,625,3,352,20
52,625,1,354,20
53,625,1,354,20
54,625,1,354,20
55,625,1,354,20
56,625,0,355,20
