timestep,susceptible,infected,recovered,dead
1,980,20,0,0
2,968,32,0,0
3,954,46,0,0
4,935,64,1,0
5,913,83,3,1
6,889,100,9,2
7,863,119,15,3
8,846,121,30,3
9,823,129,43,5
10,805,129,61,5
11,792,123,80,5
12,773,122,97,8
13,755,116,120,9
14,737,113,139,11
15,724,102,162,12
16,709,97,178,16
17,695,99,189,17
18,683,95,205,17
19,674,93,215,18
20,667,80,233,20
21,661,64,253,22
22,651,64,263,22
23,644,55,278,23
24,634,56,287,23
25,631,48,298,23
26,627,42,307,24
27,625,40,311,24
28,619,34,323,24
29,615,36,325,24
30,612,34,330,24
31,610,27,339,24
32,604,25,347,24
33,600,24,351,25
34,596,25,354,25
35,593,23,359,25
36,590,22,363,25
37,588,20,366,26
38,582,21,371,26
39,581,20,373,26
40,580,17,377,26
41,579,15,380,26
42,579,10,385,26
43,579,10,385,26
44,579,7,387,27
45,579,3,389,29
46,579,2,390,29
47,579,1,391,29
48,579,0,392,29
