timestep,susceptible,infected,recovered,dead
1,984,16,0,0
2,978,22,0,0
3,970,29,1,0
4,961,38,1,0
5,947,48,5,0
6,935,58,7,0
7,920,69,11,0
8,898,77,25,0
9,888,76,36,0
10,873,82,45,0
11,856,86,57,1
12,842,86,69,3
13,833,78,85,4
14,827,75,93,5
15,816,77,102,5
16,799,79,116,6
17,788,78,128,6
18,780,77,137,6
19,767,75,151,7
20,758,70,165,7
21,751,68,174,7
22,743,58,189,10
23,734,56,199,11
24,729,49,211,11
25,725,42,222,11
26,720,41,227,12
27,715,37,236,12
28,712,31,245,12
29,708,29,251,12
30,704,27,257,12
31,699,27,262,12
32,691,32,265,12
33,688,27,273,12
34,685,26,277,12
35,682,27,278,13
36,680,25,281,14
37,676,22,288,14
38,674,19,292,15
39,671,17,297,15
40,668,18,299,15
41,668,14,303,15
42,667,13,305,15
43,666,11,308,15
44,665,8,311,16
45,665,5,314,16
46,665,3,316,16
47,665,1,318,16
48,665,1,318,16
49,665,1,318,16
50,665,0,319,16
