timestep,susceptible,infected,recovered,dead
1,981,19,0,0
2,976,24,0,0
3,971,28,1,0
4,957,40,3,0
5,942,55,3,0
6,929,62,8,1
7,906,80,13,1
8,886,95,18,1
9,858,114,27,1
10,843,116,40,1
11,827,104,66,3
12,812,106,79,3
13,799,101,97,3
14,785,98,114,3
15,775,92,129,4
16,768,77,150,5
17,759,68,167,6
18,752,56,183,9
19,744,55,191,10
20,737,54,199,10
21,728,50,211,11
22,722,46,221,11
23,719,39,230,12
24,713,36,238,13
25,706,35,246,13
26,702,30,254,14
27,696,29,260,15
28,690,32,263,15
29,685,34,266,15
30,679,36,269,16
31,677,29,277,17
32,671,29,283,17
33,665,29,288,18
34,664,26,292,18
35,664,21,297,18
36,662,19,301,18
37,660,17,305,18
38,659,16,307,18
39,656,15,310,19
40,652,14,315,19
41,649,11,321,19
42,646,12,323,19
43,644,14,323,19
44,641,14,326,19
45,637,16,328,19
46,637,12,331,20
47,635,12,332,21
48,634,9,336,21
49,633,9,337,21
50,633,9,337,21
51,633,6,340,21
52,633,3,343,21
53,633,3,343,21
54,633,2,344,21
55,633,1,345,21
56,633,0,346,21
