timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,979,21,0,0
3,972,27,1,0
4,960,38,2,0
5,950,46,4,0
6,932,58,10,0
7,922,62,16,0
8,900,79,21,0
9,889,82,29,0
10,877,80,41,2
11,862,89,47,2
12,842,91,65,2
13,827,89,80,4
14,822,78,96,4
15,808,76,112,4
16,800,72,122,6
17,792,69,133,6
18,785,58,150,7
19,781,51,160,8
20,772,50,170,8
21,769,43,180,8
22,765,38,189,8
23,762,30,199,9
24,757,29,205,9
25,756,22,213,9
26,751,23,217,9
27,747,21,223,9
28,746,19,226,9
29,741,19,231,9
30,733,25,232,10
31,733,22,235,10
32,732,20,236,12
33,728,19,241,12
34,728,15,245,12
35,724,17,247,12
36,721,19,248,12
37,720,16,252,12
38,720,13,254,13
39,720,10,256,14
40,718,9,259,14
41,718,5,263,14
42,718,2,266,14
43,718,2,266,14
44,718,2,266,14
45,718,1,267,14
46,718,1,267,14
47,718,0,268,14
