timestep,susceptible,infected,recovered,dead
1,988,12,0,0
2,984,16,0,0
3,974,26,0,0
4,957,42,1,0
5,936,60,4,0
6,920,68,12,0
7,898,84,17,1
8,874,98,25,3
9,858,104,35,3
10,841,108,46,5
11,822,108,64,6
12,809,107,76,8
13,788,114,89,9
14,769,108,113,10
15,759,99,131,11
16,745,94,149,12
17,723,101,164,12
18,709,92,187,12
19,698,88,202,12
20,689,82,217,12
21,680,77,230,13
22,676,61,250,13
23,666,57,263,14
24,660,50,275,15
25,653,45,287,15
26,646,45,294,15
27,641,43,301,15
28,635,39,311,15
29,624,45,316,15
30,619,42,323,16
31,615,40,329,16
32,613,34,337,16
33,612,28,344,16
34,608,26,349,17
35,607,19,356,18
36,603,18,360,19
37,603,14,364,19
38,601,12,367,20
39,601,10,369,20
40,600,8,372,20
41,599,8,372,21
42,597,8,374,21
43,596,5,377,22
44,595,6,377,22
45,591,10,377,22
46,589,10,379,22
47,588,11,379,22
48,588,8,381,23
49,587,9,381,23
50,586,9,382,23
51,586,7,383,24
52,586,4,386,24
53,586,2,388,24
54,585,3,388,24
55,585,3,388,24
56,585,2,388,25
57,584,2,389,25
58,584,1,390,25
59,584,1,390,25
60,584,1,390,25
61,583,2,390,25
62,583,2,390,25
63,583,2,390,25
64,583,1,391,25
65,583,1,391,25
66,583,0,392,25
