timestep,susceptible,infected,recovered,dead
1,982,18,0,0
2,968,32,0,0
3,952,47,1,0
4,939,59,2,0
5,929,65,5,1
6,919,70,10,1
7,891,91,17,1
8,874,91,34,1
9,860,92,47,1
10,845,93,59,3
11,833,96,67,4
12,823,90,82,5
13,813,89,93,5
14,804,85,105,6
15,794,74,126,6
16,791,68,134,7
17,780,55,158,7
18,773,49,171,7
19,768,48,176,8
20,759,45,187,9
21,749,48,194,9
22,741,52,198,9
23,738,47,206,9
24,733,43,215,9
25,730,35,226,9
26,726,30,234,10
27,724,26,240,10
28,721,17,249,13
29,720,16,251,13
30,717,15,254,14
31,716,14,256,14
32,715,14,257,14
33,714,11,261,14
34,713,8,264,15
35,712,8,265,15
36,710,6,269,15
37,708,8,269,15
38,706,8,271,15
39,706,8,271,15
40,705,7,273,15
41,703,8,274,15
42,700,9,276,15
43,700,8,277,15
44,700,7,278,15
45,697,8,280,15
46,697,7,281,15
47,692,9,284,15
48,691,9,285,15
49,691,8,286,15
50,689,10,286,15
51,688,8,289,15
52,688,7,290,15
53,687,7,291,15
54,687,5,293,15
55,686,3,296,15
56,686,2,297,15
57,686,1,298,15
58,686,1,298,15
59,686,1,298,15
60,686,1,298,15
61,686,1,298,15
62,686,0,299,15
