timestep,susceptible,infected,recovered,dead
1,986,14,0,0
2,981,19,0,0
3,972,28,0,0
4,964,36,0,0
5,952,47,1,0
6,935,58,7,0
7,914,74,12,0
8,883,95,21,1
9,865,105,28,2
10,848,106,42,4
11,831,113,52,4
12,813,115,66,6
13,797,115,81,7
14,782,110,101,7
15,766,104,120,10
16,751,97,140,12
17,734,90,164,12
18,723,83,181,13
19,715,73,198,14
20,707,70,209,14
21,697,69,220,14
22,695,54,235,16
23,688,51,245,16
24,681,44,258,17
25,675,43,264,18
26,670,39,272,19
27,665,39,276,20
28,661,36,282,21
29,658,31,288,23
30,645,39,293,23
31,633,43,301,23
32,623,47,305,25
33,615,49,311,25
34,608,49,317,26
35,598,55,321,26
36,592,52,329,27
37,583,47,343,27
38,580,42,350,28
39,576,41,355,28
40,574,37,361,28
41,569,35,368,28
42,564,31,376,29
43,558,27,386,29
44,557,24,390,29
45,557,17,397,29
46,554,17,400,29
47,552,15,404,29
48,551,11,409,29
49,549,11,411,29
50,546,13,412,29
51,544,13,414,29
52,543,11,417,29
53,541,13,417,29
54,540,13,418,29
55,536,13,421,30
56,533,15,422,30
57,531,16,423,30
58,526,18,426,30
59,524,19,427,30
60,519,22,429,30
61,515,22,433,30
62,512,20,438,30
63,509,22,439,30
64,508,20,442,30
65,505,18,447,30
66,504,16,450,30
67,504,15,451,30
68,503,14,453,30
69,503,10,456,31
70,502,8,459,31
71,501,7,461,31
72,499,7,463,31
73,498,7,463,32
74,498,6,464,32
75,498,4,466,32
76,498,4,466,32
77,498,2,467,33
78,498,2,467,33
79,498,1,468,33
80,498,1,468,33
81,498,0,469,33
