timestep,susceptible,infected,recovered,dead
1,980,20,0,0
2,972,28,0,0
3,957,43,0,0
4,938,62,0,0
5,923,76,1,0
6,899,94,7,0
7,875,105,20,0
8,858,110,32,0
9,837,117,46,0
10,819,115,66,0
11,806,110,84,0
12,791,99,110,0
13,774,100,126,0
14,762,94,144,0
15,748,91,160,1
16,732,92,173,3
17,716,95,186,3
18,707,92,198,3
19,694,84,216,6
20,682,80,231,7
21,675,73,245,7
22,667,65,261,7
23,663,57,273,7
24,659,52,281,8
25,654,41,297,8
26,647,36,307,10
27,645,30,315,10
28,639,32,319,10
29,636,30,324,10
30,631,31,328,10
31,627,28,335,10
32,625,26,339,10
33,623,20,347,10
34,617,24,349,10
35,614,24,352,10
36,610,23,357,10
37,606,22,361,11
38,597,27,365,11
39,592,30,367,11
40,590,27,372,11
41,585,27,376,12
42,583,27,378,12
43,581,23,384,12
44,576,21,391,12
45,574,16,397,13
46,569,19,399,13
47,564,20,403,13
48,561,22,404,13
49,557,23,407,13
50,555,23,409,13
51,555,18,414,13
52,552,17,418,13
53,550,16,421,13
54,549,12,426,13
55,548,9,429,14
56,545,11,430,14
57,544,9,433,14
58,542,8,436,14
59,541,8,437,14
60,541,6,439,14
61,540,7,439,14
62,539,8,439,14
63,537,9,440,14
64,537,8,441,14
65,536,7,443,14
66,534,8,444,14
67,534,7,445,14
68,534,5,447,14
69,534,4,448,14
70,534,4,448,14
71,534,1,451,14
72,534,0,452,14
